iter	Logloss
0	0.6774684318
1	0.661137535
2	0.6477060586
3	0.6320537947
4	0.6188276327
5	0.6057349638
6	0.5929131234
7	0.5801797587
8	0.5687992338
9	0.5580442301
10	0.5484818894
11	0.5386588337
12	0.529377532
13	0.5204427891
14	0.5120763362
15	0.504668774
16	0.4974234769
17	0.4899782982
18	0.4824990511
19	0.4763368032
20	0.4702670985
21	0.4639864082
22	0.4580688239
23	0.452498191
24	0.4466141518
25	0.4413938623
26	0.4365038385
27	0.4316765118
28	0.4275573149
29	0.4233498087
30	0.41931748
31	0.4150297888
32	0.4112439232
33	0.4072961176
34	0.4033821657
35	0.3998846694
36	0.3965923998
37	0.3933246902
38	0.3904070173
39	0.3878675779
40	0.3849485643
41	0.3822470647
42	0.3797095076
43	0.3772566172
44	0.3747706764
45	0.3726538992
46	0.3704172824
47	0.3683224922
48	0.3660889615
49	0.3639937436
50	0.3624283217
51	0.3607263085
52	0.3590126233
53	0.3572327303
54	0.3557255142
55	0.354604378
56	0.3532896262
57	0.3523031666
58	0.351157497
59	0.3499211526
60	0.3485905488
61	0.3471084023
62	0.3456435759
63	0.3447686596
64	0.3436349823
65	0.3425517363
66	0.3416617177
67	0.3405152733
68	0.3395015081
69	0.3391755501
70	0.3380632877
71	0.3370222516
72	0.3361017751
73	0.3351200489
74	0.3340450545
75	0.3334582752
76	0.3324510466
77	0.3314217005
78	0.3306950131
79	0.3298936108
80	0.3292158951
81	0.3283949095
82	0.3277406609
83	0.3271499055
84	0.3265444589
85	0.3258290688
86	0.325356515
87	0.3247039172
88	0.324220683
89	0.3236806792
90	0.3229947901
91	0.3223902291
92	0.321996426
93	0.3214805257
94	0.3209381701
95	0.3203438892
96	0.3198268742
97	0.3192948729
98	0.3188117955
99	0.3182984437
100	0.3177054231
101	0.3171461836
102	0.3167414046
103	0.3163302602
104	0.3157973589
105	0.3154225339
106	0.3150219147
107	0.3144947043
108	0.3140813275
109	0.3136983059
110	0.3133258784
111	0.3130489439
112	0.3126141992
113	0.3122646704
114	0.3119464795
115	0.3116637023
116	0.3113058291
117	0.3109622231
118	0.310525045
119	0.3102658036
120	0.3098793857
121	0.3095684625
122	0.3093017048
123	0.3089196683
124	0.3087170002
125	0.3083977461
126	0.3081134211
127	0.3078345466
128	0.3075657385
129	0.307273371
130	0.3070011186
131	0.3067273395
132	0.3064545924
133	0.3062228161
134	0.3059918659
135	0.3058019755
136	0.3056162411
137	0.3053455344
138	0.3051686369
139	0.3049254455
140	0.3047205514
141	0.3045219498
142	0.3042906733
143	0.3040524341
144	0.3038596998
145	0.3036203097
146	0.3034328704
147	0.3032418189
148	0.3030298534
149	0.3028360341
150	0.3026557835
151	0.3024871169
152	0.3022016369
153	0.3019261831
154	0.3017421601
155	0.3014477874
156	0.3011767593
157	0.301002295
158	0.3007842569
159	0.3006012031
160	0.3004293008
161	0.3002662397
162	0.3001233143
163	0.299956356
164	0.2997694449
165	0.2996355669
166	0.2994895645
167	0.2993205461
168	0.2991767458
169	0.2990300908
170	0.2988180121
171	0.2987371571
172	0.29864282
173	0.2985038952
174	0.2983799289
175	0.2981279326
176	0.2979717602
177	0.2978193721
178	0.2976807577
179	0.2975217004
180	0.2973003581
181	0.2971645199
182	0.2969938684
183	0.2968116305
184	0.296711652
185	0.296514641
186	0.2963733596
187	0.2962053348
188	0.2960527874
189	0.2959292968
190	0.2957813785
191	0.2956664869
192	0.2954885857
193	0.2953510299
194	0.295205009
195	0.2950314382
196	0.2948712167
197	0.2947569434
198	0.2946235984
199	0.2944737716
200	0.2942645588
201	0.2941441605
202	0.2940403202
203	0.2938957324
204	0.293721787
205	0.2936036831
206	0.2934999223
207	0.2933925322
208	0.2932784025
209	0.29317587
210	0.293080241
211	0.2929653364
212	0.2928317872
213	0.2926968406
214	0.2925718421
215	0.2924985158
216	0.2924107043
217	0.2922843974
218	0.2920821487
219	0.2919620755
220	0.2918301939
221	0.291731635
222	0.2916118978
223	0.291494414
224	0.2913242969
225	0.291230733
226	0.2911015046
227	0.2910070334
228	0.2908924368
229	0.2907834205
230	0.2906688134
231	0.2905486342
232	0.2904597236
233	0.2903622397
234	0.290250934
235	0.2901320572
236	0.2899664919
237	0.2898594659
238	0.2898022402
239	0.2896772742
240	0.2895989598
241	0.2895015908
242	0.289428132
243	0.2893428738
244	0.2891581873
245	0.2890619619
246	0.2889893118
247	0.2888303542
248	0.2887407042
249	0.2886440137
250	0.2885872965
251	0.2884859282
252	0.2883871947
253	0.2882979559
254	0.2882095982
255	0.2879852224
256	0.2878835527
257	0.2877915904
258	0.2877332744
259	0.287558953
260	0.2874644116
261	0.2873685812
262	0.28729865
263	0.2872346839
264	0.2871709324
265	0.2870933407
266	0.287006771
267	0.2869466295
268	0.2868561381
269	0.2867324772
270	0.286647911
271	0.28656704
272	0.2864904939
273	0.2863849443
274	0.2862670372
275	0.2861750051
276	0.2860502316
277	0.2859929171
278	0.2858862766
279	0.2856977682
280	0.2855458055
281	0.2854663616
282	0.2853024391
283	0.2851781058
284	0.2850539616
285	0.2849418421
286	0.2848708844
287	0.2848546794
288	0.2847807709
289	0.2846679083
290	0.2845665832
291	0.2845100826
292	0.2843913374
293	0.284269232
294	0.284225495
295	0.2841621634
296	0.2840609181
297	0.2839801609
298	0.2839052136
299	0.2838168436
300	0.2837631463
301	0.2836921834
302	0.2836126256
303	0.2835349504
304	0.2834282605
305	0.2833040819
306	0.2832400965
307	0.2831384828
308	0.2830521586
309	0.2829963808
310	0.282936997
311	0.2828554879
312	0.282745819
313	0.2826771457
314	0.282597262
315	0.2825030663
316	0.2823973584
317	0.2823117803
318	0.2822109401
319	0.2821307217
320	0.2820185582
321	0.2819371824
322	0.2818752326
323	0.2818197308
324	0.2817372772
325	0.2815984833
326	0.2815257229
327	0.2814055077
328	0.2813293111
329	0.2812498519
330	0.2811692968
331	0.281085199
332	0.2810047146
333	0.2809337484
334	0.2808594947
335	0.2808112749
336	0.2807440245
337	0.2806510052
338	0.2805919323
339	0.2805315957
340	0.2804579186
341	0.2803918732
342	0.2803268668
343	0.2802635636
344	0.2801941236
345	0.2801217939
346	0.2800381308
347	0.2799412316
348	0.2798881338
349	0.2798311312
350	0.2797668038
351	0.2797005979
352	0.2795968205
353	0.2795199987
354	0.2794695654
355	0.2794177336
356	0.2793737613
357	0.2793184653
358	0.2792603115
359	0.2792256153
360	0.279123841
361	0.2790464648
362	0.2790052193
363	0.2789350855
364	0.2788582711
365	0.2787510654
366	0.2786899701
367	0.2786366633
368	0.2785884759
369	0.2784629557
370	0.2783998412
371	0.2783392075
372	0.2782845077
373	0.2782307205
374	0.2781574504
375	0.2780776474
376	0.2780142014
377	0.2779390319
378	0.2778339038
379	0.2777643386
380	0.277695951
381	0.2776511706
382	0.2775850511
383	0.2775356079
384	0.2775116724
385	0.2774574744
386	0.2773941607
387	0.2773169038
388	0.2772370021
389	0.2772080385
390	0.2771496188
391	0.2770898508
392	0.2770352015
393	0.2770032802
394	0.2769096984
395	0.2768313729
396	0.2767352729
397	0.2766595942
398	0.2765815791
399	0.2765319947
400	0.2764818013
401	0.2764379051
402	0.2763768326
403	0.2763179668
404	0.2762741022
405	0.276221664
406	0.2761807938
407	0.276140952
408	0.2760434266
409	0.2759605
410	0.2758878782
411	0.2757466652
412	0.2756993885
413	0.2756385937
414	0.2755989252
415	0.2755402452
416	0.2754689961
417	0.2754137671
418	0.2753338687
419	0.2752900746
420	0.2751755447
421	0.2750710681
422	0.2750012069
423	0.2749280775
424	0.274854471
425	0.2747948737
426	0.274763065
427	0.2746974505
428	0.27465941
429	0.2746016387
430	0.2745219813
431	0.27447164
432	0.2743871687
433	0.2743388251
434	0.2742655174
435	0.2742095501
436	0.2741574053
437	0.2741097309
438	0.2739583798
439	0.2738989971
440	0.2738526559
441	0.2737967148
442	0.2737349213
443	0.2736856511
444	0.2736253625
445	0.2735766577
446	0.2735426503
447	0.2734994382
448	0.2734745917
449	0.2734094479
450	0.2733530905
451	0.2733041854
452	0.2732076576
453	0.2731403556
454	0.2730629206
455	0.2730031418
456	0.2729674026
457	0.2729022539
458	0.2728471781
459	0.2728057953
460	0.2727241705
461	0.2726826139
462	0.2726374896
463	0.272565872
464	0.2725422184
465	0.2724993664
466	0.2724518796
467	0.2723891694
468	0.2723406935
469	0.272302453
470	0.2722583311
471	0.272171194
472	0.2721224074
473	0.272057813
474	0.2720118711
475	0.2719490944
476	0.2718450988
477	0.2717913614
478	0.2717899477
479	0.2717592399
480	0.2716933599
481	0.2716423869
482	0.2715932463
483	0.2715495365
484	0.2714120632
485	0.2713651779
486	0.2713064685
487	0.2712590298
488	0.2712178294
489	0.2711770635
490	0.2711322625
491	0.2710864151
492	0.2710499273
493	0.2709912464
494	0.2709460702
495	0.2708958076
496	0.2708562573
497	0.2708129125
498	0.2707431038
499	0.2706784685
500	0.2706531026
501	0.2706179521
502	0.2705771864
503	0.2705398363
504	0.2704925784
505	0.2704059863
506	0.2703506464
507	0.2703191231
508	0.2702841177
509	0.2702391442
510	0.2701738629
511	0.2701309534
512	0.2700968194
513	0.2700579954
514	0.2700241411
515	0.2699759784
516	0.2699260347
517	0.2699221361
518	0.2698487833
519	0.2698197812
520	0.269723064
521	0.2696669285
522	0.2696156456
523	0.2695570442
524	0.2695038914
525	0.2694449401
526	0.2694000078
527	0.2692993166
528	0.269236192
529	0.2692090198
530	0.2691718289
531	0.2691394163
532	0.269100615
533	0.2690416688
534	0.2689688946
535	0.2689219809
536	0.2688691874
537	0.268834005
538	0.2687992889
539	0.2687203033
540	0.2686697049
541	0.2686010628
542	0.2685346728
543	0.268499297
544	0.2684595233
545	0.2683956859
546	0.2683517222
547	0.2683027864
548	0.26826671
549	0.2682056534
550	0.2681659675
551	0.2681335369
552	0.2681093566
553	0.2680557389
554	0.2680018793
555	0.2679393162
556	0.2678828139
557	0.2678343669
558	0.2677833672
559	0.2677404789
560	0.2676966076
561	0.2676528288
562	0.2676037275
563	0.2675738864
564	0.2675381115
565	0.2675137872
566	0.2674457737
567	0.2674168156
568	0.2673594284
569	0.2673227916
570	0.2672726743
571	0.2672453139
572	0.2672041708
573	0.2671622078
574	0.2671174261
575	0.2670621947
576	0.2670024511
577	0.2669433467
578	0.2669171718
579	0.2668828591
580	0.2668561498
581	0.2668199439
582	0.2667835878
583	0.2667029028
584	0.2665880223
585	0.2665375948
586	0.2665014769
587	0.2664897232
588	0.2664601657
589	0.2664085565
590	0.266368857
591	0.2662965965
592	0.2662525239
593	0.2662219656
594	0.2661835502
595	0.2661424744
596	0.2661000195
597	0.2660214441
598	0.2659341728
599	0.2658868127
600	0.2658406045
601	0.2658207102
602	0.2657817262
603	0.2657463134
604	0.2656998087
605	0.265646114
606	0.2655731998
607	0.2655459404
608	0.2654835469
609	0.2654329866
610	0.2654055257
611	0.2653714266
612	0.265326289
613	0.2652936795
