iter	RMSE
0	599095.4131
1	586728.1023
2	573996.5777
3	561736.1793
4	550860.227
5	539915.3861
6	528567.5483
7	518461.9413
8	508193.6928
9	498064.8101
10	488311.9966
11	478652.5605
12	468977.5969
13	459972.6754
14	451491.1821
15	443273.361
16	435156.4326
17	427836.6142
18	420502.4745
19	413383.9927
20	406407.5997
21	399937.04
22	393422.2805
23	387197.1068
24	381397.8636
25	375320.8502
26	369857.2902
27	364359.1699
28	358602.7474
29	353103.6106
30	348242.0665
31	343344.6723
32	338229.0374
33	333685.6894
34	329357.0495
35	324991.3973
36	320672.8713
37	316757.2122
38	312882.4985
39	309116.7102
40	305495.1588
41	301756.5877
42	298049.8544
43	294807.2886
44	291629.4564
45	288449.0943
46	285261.34
47	282396.6155
48	279725.0889
49	276931.0556
50	274302.254
51	271692.227
52	269044.3308
53	266856.6751
54	264662.0442
55	262449.4303
56	260096.0228
57	257891.6486
58	255800.82
59	253511.6762
60	251659.7472
61	249705.0791
62	247926.2064
63	246311.1884
64	244699.5798
65	242927.9136
66	241234.5925
67	239646.9283
68	238366.6588
69	236868.3057
70	235382.6904
71	234100.8535
72	232718.1621
73	231473.5874
74	230078.332
75	228507.9228
76	227305.1644
77	226292.0144
78	225202.6165
79	224254.648
80	223053.0336
81	221930.7857
82	220883.7741
83	219846.7458
84	218948.7153
85	218306.278
86	217277.3656
87	216257.1687
88	215413.5568
89	214599.7077
90	213942.2052
91	213097.894
92	212384.5136
93	211445.0887
94	210734.3965
95	210030.538
96	209087.6147
97	208440.2778
98	207741.0791
99	207018.0601
100	206555.5447
101	206006.3776
102	205437.6289
103	204577.3934
104	204157.8576
105	203610.3404
106	202880.3034
107	202290.2303
108	201753.9469
109	201386.8569
110	201087.8226
111	200468.1012
112	200087.7373
113	199694.4982
114	199006.9687
115	198665.3699
116	198131.2486
117	197709.8553
118	197282.4839
119	196789.7974
120	196467.5986
121	196228.302
122	195925.7188
123	195575.3492
124	195060.1348
125	194750.0485
126	194526.014
127	194238.277
128	193782.5402
129	193467.9581
130	192809.171
131	192230.1823
132	191971.0475
133	191681.3386
134	191415.1506
135	191104.6267
136	190690.3028
137	190468.4131
138	190250.8866
139	189597.7589
140	189388.8628
141	189135.2473
142	188888.9774
143	188700.3818
144	188490.3832
145	188232.8366
146	188013.868
147	187694.5455
148	187489.1133
149	187120.6657
150	186714.2619
151	186513.3982
152	186038.45
153	185837.3962
154	185511.9556
155	185301.4463
156	185102.901
157	184933.7443
158	184729.4828
159	184668.5153
160	184495.8484
161	184050.7149
162	183779.314
163	183234.3663
164	183023.6447
165	182534.3281
166	182019.239
167	181829.9072
168	181578.1
169	181422.5271
170	181231.4999
171	181145.0291
172	181045.638
173	180586.9085
174	180447.3862
175	180267.4465
176	180101.5318
177	179672.3856
178	179520.5039
179	179433.9687
180	179163.1602
181	179033.9992
182	178743.4308
183	178572.4188
184	178399.3275
185	178263.1016
186	178096.3936
187	177824.0458
188	177745.5122
189	177562.4581
190	177428.5716
191	177050.3477
192	176632.1427
193	176219.7677
194	176031.6208
195	175904.4394
196	175522.3241
197	175098.8406
198	174642.9168
199	174332.3768
200	174227.3234
201	174124.531
202	173740.3048
203	173627.3558
204	173528.5516
205	173414.8745
206	173386.4887
207	173269.3489
208	172740.3444
209	172627.4755
210	172240.2759
211	172034.7883
212	171705.2398
213	171323.586
214	170740.1718
215	170355.146
216	170252.8015
217	170179.2405
218	169921.2012
219	169833.8782
220	169641.3525
221	169191.511
222	168727.1256
223	168399.2249
224	168308.3025
225	168031.8834
226	167990.7214
227	167897.29
228	167558.6831
229	167483.6787
230	167462.8961
231	167175.6858
232	167094.4158
233	167039.5851
234	166684.066
235	166445.3648
236	166215.2153
237	166119.5032
238	166049.448
239	165972.2587
240	165942.917
241	165595.1704
242	165265.7825
243	164827.7867
244	164801.7354
245	164422.8515
246	164165.4213
247	163910.1624
248	163615.621
249	163599.0226
250	163582.6794
251	163470.0133
252	163110.4476
253	163038.7616
254	162788.7556
255	162700.2872
256	162634.5843
257	162348.2373
258	162018.273
259	161921.365
260	161764.3363
261	161696.7775
262	161682.7781
263	161505.9079
264	161174.1081
265	161101.5464
266	161047.5082
267	160987.765
268	160760.0922
269	160701.0747
270	160652.2261
271	160605.1923
272	160168.5877
273	160106.1254
274	160048.1456
275	159675.1267
276	159616.6106
277	159559.0044
278	159280.855
279	158895.0272
280	158610.3434
281	158559.2301
282	158458.6617
283	158197.9651
284	157891.8711
285	157756.1377
286	157404.4407
287	157023.9794
288	156681.3658
289	156379.4575
290	156078.3405
291	156023.8235
292	155870.8027
293	155524.1418
294	155467.5401
295	155162.3716
296	154751.5415
297	154375.2356
298	154262.4927
299	154032.6908
300	153800.6837
301	153631.364
302	153483.5819
303	153160.1165
304	152708.9682
305	152488.8628
306	152361.6418
307	152177.9139
308	152106.8106
309	151729.3442
310	151674.2843
311	151445.7295
312	151201.5231
313	151174.3324
314	150910.3783
315	150863.4532
316	150810.5768
317	150364.0694
318	150326.54
319	150044.817
320	149850.3753
321	149578.7712
322	149357.2296
323	149297.2866
324	149052.5878
325	149012.4422
326	148991.4264
327	148671.5598
328	148629.339
329	148373.4981
330	148330.9475
331	148292.2458
332	148255.1512
333	148018.6125
334	148007.4972
335	147857.5791
336	147535.9887
337	147504.7044
338	147318.9468
339	147091.7066
340	146814.1028
341	146554.2692
342	146415.6912
343	146400.2486
344	146332.5646
345	145981.6764
346	145947.9984
347	145652.9938
348	145643.6027
349	145351.5655
350	145241.8333
351	144934.8102
352	144894.4479
353	144558.6757
354	144268.3519
355	144013.3117
356	143978.7637
357	143713.0824
358	143677.6373
359	143638.8349
360	143573.7754
361	143286.5036
362	143117.0151
363	143087.534
364	142831.3307
