id,price,currency,latitude,longitude,sq_meters,sq_meters_built,rooms,bathrooms,balcony,terrace,exterior,orientation,floor,rooftop,elevator,doorman,pool,ac,heating,year_built,quality,city,neighborhood,dist_city_center,furniture,garage,property_type,garden,closest_station,dist_closest_station,created_at,last_seen
95260885,675, €/mes,41.3860452,2.1470645,29,35,1,1,1,,1,NULL,8,,1,,,,na,,2,Barcelona,La Nova Esquerra de l'Eixample,1.918450097,3,,piso,,Entença,0.213029018,10/3/2021 21:20,10/4/2021 9:01
95261071,850, €/mes,41.3614067,2.1415629,59,69,2,1,1,,1,,,,1,,,,,1977,2,Barcelona,La Marina del Port,3.779690849,3,,piso,,Foneria,0.280429536,10/4/2021 6:01,10/4/2021 6:01
95262245,825, €/mes,41.4131764,2.157144,,61,3,1,1,,1, norte,1,,1,,,,na,1965,2,Barcelona,La Salut,3.006780831,3,,piso,,Alfons X,0.786026649,10/4/2021 5:19,11/12/2021 11:37
95262393,775, €/mes,41.3800456,2.1371746,,31,2,1,1,,1, sur,1,,1,,,1,electric,1936,2,Barcelona,Sants,2.869028493,3,,piso,,Plaça del Centre,0.234848987,11/11/2021 17:50,11/11/2021 17:50
95262560,725, €/mes,41.3747163,2.1733335,40,47,2,1,1,,1,NULL,2,,0,,,1,individual,1900,2,Barcelona,Ciutat Vella,1.493837358,,,piso,,Drassanes,0.28086094,10/3/2021 23:18,10/4/2021 11:24
95263151,900, €/mes,41.4338039,2.1842372,67,74,3,1,,,1,NULL,3,,1,,,,gas,1974,2,Barcelona,Sant Andreu,5.243712389,3,,piso,,Fabra i Puig,0.466451422,10/22/2021 12:42,11/12/2021 15:05
95263987,715, €/mes,41.4236794,2.1749024,,50,2,1,,,1,NULL,,,1,,,1,NULL,,2,Barcelona,El Guinardó,4.00138528,3,,piso,,Maragall,0.21526222,10/3/2021 23:18,10/4/2021 11:24
95264598,766, €/mes,41.4327643,2.1724664,62,67,3,1,1,,1,,2,,1,,,,,1973,2,Barcelona,Porta,4.994767791,3,,piso,,Virrei Amat,0.396927572,10/22/2021 22:52,10/22/2021 22:52
95265859,795, €/mes,41.3794364,2.1549153,,50,1,1,,,1, sur,4,,1,,,,NULL,,2,Barcelona,Eixample,1.566626014,3,,piso,,Rocafort,0.037191675,10/4/2021 1:23,10/22/2021 22:52
95266085,890, €/mes,41.3964028,2.1842325,50,58,1,1,1,,1, este,2,,0,,,,electric,1917,2,Barcelona,El Fort Pienc,1.523428028,3,,piso,,Marina,0.227914307,9/30/2021 2:00,10/4/2021 7:51
95266198,800, €/mes,41.4370617,2.1792503,,67,3,1,1,,0,NULL,1,,1,,,1,NULL,,2,Barcelona,Porta,5.523361034,3,,piso,,Llucmajor,0.492634455,10/4/2021 1:23,10/22/2021 22:52
