id,price,currency,latitude,longitude,sq_meters,sq_meters_built,rooms,bathrooms,balcony,terrace,exterior,orientation,floor,rooftop,elevator,doorman,pool,ac,heating,year_built,quality,city,neighborhood,dist_city_center,furniture,garage,property_type,garden,closest_station,dist_closest_station,created_at,last_seen
94949591,144500, €,41.4514474,2.1921821,,80,3,1,,,,,,,,,,,,,2,Barcelona,La Trinitat Vella,7.308198988,,,piso,,Trinitat Vella,0.309525668,9/3/2021 9:52,11/12/2021 13:16
94950664,471000, €,41.3973376,2.1706575,93.0,102,4,2,1.0,1.0,0.0, sur,8.0,1.0,1.0,,,1.0,na,1975.0,2,Barcelona,La Dreta de l'Eixample,1.05154499,,,atico,,Girona,0.269232868,8/28/2021 21:29,8/29/2021 15:19
94951822,63000, €,41.4636484,2.1763713,,58,3,1,,,,,,,0.0,,,,,,2,Barcelona,Nou Barris,8.44264424,,,piso,,Can Cuiàs,0.308611809,10/3/2021 22:52,11/11/2021 13:04
94953598,28000, €,41.4527065,2.1917865,,46,3,1,,,,,,,0.0,,,,,,2,Barcelona,Sant Andreu,7.43557068,,,piso,,Trinitat Vella,0.45079343,9/3/2021 12:18,11/12/2021 16:40
94954437,159000, €,41.3865945,2.1735613,40.0,50,2,1,,1.0,1.0, sur,1.0,,0.0,,,,,1800.0,2,Barcelona,El Gòtic,0.336783872,,,piso,,Urquinaona,0.25068974,9/3/2021 11:33,9/8/2021 14:10
94955824,144000, €,41.3768977,2.1877781,,35,1,1,,,1.0,,,,1.0,,,1.0,,1971.0,2,Barcelona,La Barceloneta,1.928446838,,,piso,,Barceloneta,0.600828679,9/3/2021 9:52,10/4/2021 6:21
94956063,69400, €,41.4253375,2.1553602,,63,1,1,,,,,,,0.0,,,,,,2,Barcelona,Horta Guinardó,4.337707575,,,piso,,El Carmel,0.088766435,9/3/2021 12:18,11/12/2021 16:40
94956117,146000, €,41.4259701,2.1830403,,44,3,1,,,,,,,0.0,,,,,,2,Barcelona,Sant Andreu,4.373709995,,,piso,,Congrés,0.32106694,9/3/2021 10:16,11/12/2021 13:16
94956154,143000, €,41.4266911,2.1532406,,64,3,1,,,,,,,0.0,,,,,,2,Barcelona,Horta Guinardó,4.53355317,,,piso,,El Carmel,0.282362247,9/3/2021 9:52,10/23/2021 21:41
94956686,120000, €,41.4591622,2.1793064,,74,3,1,,,,,,,0.0,,,,na,1968.0,2,Barcelona,Ciutat Meridiana - Torre Baró - Vallbona,7.965049213,,,piso,,Torre Baró | Vallbona,0.05170725,9/2/2021 18:12,11/11/2021 20:54
94956901,370000, €,41.4229329,2.1808159,105.0,115,3,1,,,1.0,,3.0,,1.0,,,,,1963.0,2,Barcelona,El Congrés i els Indians,4.001326989,,,piso,,Congrés,0.06434955,8/28/2021 17:53,8/29/2021 11:47
94957359,97000, €,41.4171522,2.2187235,,51,3,1,,,,,,,0.0,,,,,,2,Barcelona,Sant Martí,5.212083162,,,piso,,Besòs Mar,0.317364517,9/3/2021 13:04,11/11/2021 15:49
94957415,154000, €,41.3772996,2.1666286,,52,2,1,1.0,,0.0, sur,4.0,1.0,0.0,,,1.0,bomba,,2,Barcelona,El Raval,1.210655305,,,piso,,Paral·lel,0.362732293,9/3/2021 10:47,10/4/2021 7:05
94958492,650000, €,41.3920292,2.1767943,143.0,160,8,1,1.0,,1.0,,3.0,,1.0,,,1.0,na,,2,Barcelona,La Dreta de l'Eixample,0.73485703,,,piso,,Tetuan,0.334210515,8/30/2021 11:52,9/1/2021 1:12
94959245,149000, €,41.3783678,2.1675732,88.0,90,0,1,,,1.0, sur,,,1.0,,,1.0,electric,1940.0,2,Barcelona,El Raval,1.078202789,,,estudio,,Sant Antoni,0.396586382,9/3/2021 11:33,11/12/2021 13:50
94959415,299000, €,41.4113903,2.1624854,85.0,90,3,1,1.0,,1.0,,,,1.0,,,,na,1985.0,2,Barcelona,El Baix Guinardó,2.685446077,,,piso,,Alfons X,0.35472855,8/30/2021 12:17,8/30/2021 12:17
94959580,390000, €,41.3980941,2.1802355,92.0,102,4,2,1.0,,1.0, este,6.0,,1.0,,,,gas,1975.0,2,Barcelona,El Fort Pienc,1.423592711,,,piso,,Monumental,0.277854191,8/28/2021 22:42,8/29/2021 17:23
94959687,290000, €,41.4057746,2.1709971,,73,3,2,1.0,,1.0, norte,4.0,,1.0,,,,,1941.0,2,Barcelona,La Sagrada Família,1.990218977,,,piso,,Sagrada Família,0.328130961,8/29/2021 20:26,8/29/2021 20:26
94960669,149000, €,41.416252,2.1578126,,69,2,1,,,1.0,,3.0,,0.0,,,,,1955.0,2,Barcelona,El Carmel,3.311421497,,,piso,,Alfons X,0.841830511,9/3/2021 11:33,11/10/2021 16:42
94960739,146500, €,41.44144,2.1733476,63.0,65,3,1,,,1.0, sur,2.0,,0.0,,,,,,2,Barcelona,Verdun,5.96210486,,,piso,,Llucmajor,0.495568107,10/22/2021 12:00,10/22/2021 12:00
94961124,135000, €,41.4455461,2.1839177,,58,3,1,,,1.0,,5.0,,1.0,,,,,1960.0,2,Barcelona,La Prosperitat,6.517406223,,,piso,,Trinitat Nova,0.477239032,8/28/2021 21:29,11/12/2021 9:27
94961364,257000, €,41.4169397,2.1973284,72.0,81,3,1,1.0,,1.0, sur,2.0,,1.0,,,1.0,gas,1965.0,2,Barcelona,Sant Martí,3.957593262,,,piso,,Bac de Roda,0.24954686,8/29/2021 20:26,8/29/2021 20:26
94961456,290000, €,41.4055381,2.1709414,,72,3,2,1.0,,1.0, norte,4.0,,1.0,,,,na,1941.0,2,Barcelona,El Camp d'En Grassot i Gràcia Nova,1.963733133,,,piso,,Sagrada Família,0.321185384,8/28/2021 23:22,8/29/2021 19:12
94961714,390000, €,41.39734,2.1825868,,102,4,2,1.0,,1.0, este,6.0,,1.0,,,,gas,1975.0,2,Barcelona,El Fort Pienc,1.489868439,,,piso,,Marina,0.395617227,8/28/2021 22:42,8/29/2021 17:23
94962573,120000, €,41.3794714,2.1651598,33.0,37,1,1,,,0.0,,3.0,,0.0,,,1.0,na,1900.0,2,Barcelona,El Raval,1.0182084,,,piso,,Sant Antoni,0.165102661,9/2/2021 16:12,10/22/2021 23:10
94964559,95000, €,41.4467191,2.1811185,38.0,41,2,1,,,1.0, norte,2.0,,0.0,,,,gas,1963.0,2,Barcelona,Nou Barris,6.608784834,,,piso,,Trinitat Nova,0.36814307,9/3/2021 13:04,10/4/2021 12:55
94965956,599000, €,41.4032708,2.1348975,,91,4,2,,,1.0, este,1.0,,1.0,,,1.0,bomba,1968.0,2,Barcelona,Sant Gervasi - Galvany,3.385680311,,1.0,piso,,Vallcarca,1.248005221,8/28/2021 20:59,8/29/2021 14:06
94967053,147000, €,41.3749161,2.1574222,,56,3,1,,,,,,,,,,,,,2,Barcelona,Sants-Montjuïc,1.781475756,,,piso,,Poble Sec,0.235763888,9/3/2021 10:47,11/12/2021 13:16
94967257,205000, €,41.4226847,2.2025249,82.0,92,4,1,1.0,,1.0, norte,17.0,,1.0,,,1.0,gas,1963.0,2,Barcelona,La Verneda i la Pau,4.729606054,,,piso,,La Pau,0.286691135,8/29/2021 19:12,8/29/2021 19:12
94967493,107000, €,41.4392485,2.1763832,,50,2,1,,,1.0,,1.0,,0.0,,,,,,2,Barcelona,La Prosperitat,5.736875171,,,piso,,Llucmajor,0.357291724,9/3/2021 17:07,10/4/2021 13:29
94967812,159000, €,41.4437109,2.1822919,,71,3,1,,,1.0, sur,1.0,,0.0,,,,individual,1971.0,2,Barcelona,La Prosperitat,6.293032253,,,piso,,Via Júlia,0.312004974,9/3/2021 11:33,10/4/2021 9:26
