iter	RMSE
0	596469.6353
1	583891.2083
2	571010.6923
3	558293.6605
4	546788.4183
5	535498.6085
6	523949.2915
7	513387.1167
8	502997.0863
9	492493.2414
10	482577.6505
11	473028.7406
12	463598.2329
13	454373.0791
14	445331.3649
15	436615.3857
16	428432.322
17	420659.6472
18	413026.1693
19	405825.5832
20	398930.6307
21	392440.0362
22	385784.8865
23	379583.2358
24	373397.8935
25	367655.364
26	362028.733
27	356145.7804
28	350318.8913
29	344789.882
30	339778.2376
31	334791.3134
32	329853.5544
33	325129.5457
34	320577.5169
35	316224.2221
36	311893.9403
37	307863.2716
38	303843.992
39	300059.5937
40	296338.1788
41	292485.2075
42	288722.7913
43	285532.1059
44	282221.656
45	278876.2039
46	275798.4897
47	272732.7402
48	269634.8556
49	266929.306
50	264131.0809
51	261411.3875
52	258849.7218
53	256184.4141
54	253606.6036
55	251411.8026
56	249090.105
57	246846.5301
58	244584.0144
59	242522.8297
60	240491.9093
61	238570.3748
62	236751.9433
63	235138.2959
64	233235.538
65	231341.0396
66	229497.7869
67	227721.6012
68	226033.3314
69	224345.4046
70	222723.0579
71	221426.5169
72	220015.2137
73	218705.9769
74	217298.4096
75	216026.3563
76	214677.5808
77	213421.6171
78	212313.2684
79	211061.9638
80	209724.8422
81	208717.4944
82	207741.0414
83	206590.22
84	205545.5295
85	204235.4311
86	203298.807
87	202612.6894
88	201739.2275
89	200640.3405
90	199804.3106
91	198863.9609
92	197942.0398
93	197037.0443
94	196367.068
95	195804.0439
96	194952.1375
97	194250.7816
98	193267.2815
99	192775.5442
100	191930.4202
101	191424.3594
102	190854.3622
103	189966.2181
104	189144.0097
105	188351.7832
106	187782.7457
107	187092.9506
108	186438.395
109	186032.6999
110	185420.7079
111	184891.0303
112	184517.1469
113	184159.2383
114	183762.9686
115	183120.5026
116	182824.2364
117	182266.8155
118	181593.306
119	180983.0903
120	180408.3397
121	180061.8864
122	179469.4374
123	179141.2383
124	178538.3246
125	178085.3777
126	177747.3954
127	177308.6416
128	177035.1664
129	176418.8785
130	176141.1162
131	175926.9021
132	175687.6385
133	175138.7353
134	174737.0944
135	174466.1454
136	173918.044
137	173659.5822
138	173412.2836
139	173156.0981
140	172928.9431
141	172483.7887
142	172222.7151
143	172015.4056
144	171802.0294
145	171518.4063
146	170836.2474
147	170624.0324
148	170442.8852
149	170234.7419
150	169762.423
151	169527.4503
152	169339.9514
153	169023.3673
154	168831.4023
155	168617.1641
156	168439.9227
157	168280.8243
158	168107.3009
159	167831.6326
160	167641.083
161	167097.8664
162	166715.3306
163	166552.1217
164	166394.3382
165	166220.0218
166	166056.3267
167	165894.2354
168	165777.8479
169	165299.3417
170	165166.9239
171	164988.1991
172	164841.6055
173	164437.2849
174	163899.8757
175	163756.8953
176	163619.178
177	163161.9854
178	163014.4118
179	162526.0725
180	162284.7367
181	162163.7179
182	162049.4281
183	161936.8583
184	161588.2246
185	161462.0597
186	161336.1604
187	161207.6242
188	160808.7627
189	160688.8244
190	160549.3123
191	160335.6199
192	160186.7317
193	159784.3461
194	159388.7722
195	159222.9434
196	159187.9896
197	158959.6026
198	158856.636
199	158613.3207
200	158329.6015
201	158214.7219
202	157965.6224
203	157576.4872
204	157210.5069
205	157169.899
206	157127.6271
207	157015.1647
208	156828.8772
209	156799.9172
210	156349.475
211	156161.51
212	156043.4912
213	155779.4834
214	155686.697
215	155477.3761
216	155378.8786
217	155269.2828
218	154894.5787
219	154808.3644
220	154417.1319
221	154153.891
222	154120.4374
223	153830.2075
224	153806.3836
225	153613.0036
226	153529.8515
227	153498.266
228	153397.8799
229	153188.5221
230	153124.9441
231	152820.5064
232	152741.5389
233	152484.4012
234	152416.6745
235	152146.3087
236	152073.2254
237	151789.7473
238	151551.7358
239	151377.9435
240	151358.6162
241	151331.4156
242	151247.4802
243	151106.6598
244	150863.3743
245	150767.7095
246	150485.9744
247	150211.735
248	149837.3683
249	149762.9763
250	149463.9869
251	149187.2007
252	149160.285
253	148837.1469
254	148774.5221
255	148707.2651
256	148361.2153
257	148090.2184
258	148036.4976
259	147962.9802
260	147707.0075
261	147692.0438
262	147437.468
263	147368.7253
264	147112.3631
265	146963.0417
266	146897.4987
267	146828.7556
268	146815.2846
269	146751.6981
270	146656.1594
271	146597.6919
272	146332.9652
273	146280.3015
274	146004.0262
275	145945.2909
276	145713.3433
277	145544.0035
278	145385.8092
279	145302.3328
280	145284.5758
281	145230.3487
282	145172.2269
283	145129.5893
284	145032.0425
285	144947.743
286	144879.9985
287	144775.5451
288	144675.6355
289	144659.7955
290	144359.8731
291	144313.8066
292	144249.7364
293	143889.5478
294	143840.9948
295	143798.0776
296	143636.9122
297	143588.9612
298	143247.6859
299	143201.9775
300	143016.2266
301	142971.8902
302	142915.4302
303	142902.1652
304	142536.0048
305	142301.541
306	142222.059
307	141966.9725
308	141860.1814
309	141799.7693
310	141541.0941
311	141243.7456
312	141124.4969
313	141088.8892
314	141015.277
315	140809.484
316	140774.8709
317	140472.0739
318	140364.6503
319	140320.671
320	140027.8119
321	139994.3418
322	139792.5987
323	139754.4993
324	139492.5363
325	139175.0796
326	139147.4369
327	139113.0264
328	138919.7813
329	138593.8117
330	138467.9262
331	138305.8959
332	138195.6711
333	137960.5912
334	137926.9658
335	137740.794
336	137557.06
337	137523.8532
338	137254.6909
339	137179.9252
340	137133.5447
341	136955.9643
342	136923.6267
343	136892.078
344	136860.1235
345	136579.7063
346	136428.996
347	136393.9937
348	136339.3718
349	136004.2217
350	135725.6953
351	135479.5747
352	135196.3052
353	135170.3192
354	134918.3939
355	134893.604
356	134707.3723
357	134517.2288
358	134434.0914
359	134254.7121
360	133992.5404
361	133857.333
362	133776.5839
363	133464.9964
364	133416.3154
365	133216.5421
366	132973.4492
367	132821.0468
368	132752.484
369	132534.2909
370	132501.6196
371	132273.6581
372	132240.0805
373	132207.4508
374	132064.1452
375	132016.9391
376	131776.8575
377	131651.6044
378	131595.4182
379	131411.8314
380	131151.4995
381	131014.7782
382	130968.1529
383	130729.9324
384	130511.1291
385	130393.4711
386	130195.9309
387	129932.755
388	129844.3455
389	129708.2162
390	129494.5721
391	129474.3321
392	129331.5924
393	129106.6883
394	129087.1928
395	128875.3
396	128819.8264
397	128799.4223
398	128671.7752
399	128532.7804
400	128290.1402
401	128156.0492
402	127970.6432
403	127946.9797
404	127929.8194
405	127817.3835
406	127794.6086
407	127621.1179
408	127563.0083
409	127500.0627
410	127348.51
411	127301.3447
412	127085.069
413	126958.4777
414	126753.4639
415	126722.6446
416	126472.1918
417	126448.1538
418	126244.151
419	126149.6681
420	126083.5249
421	125821.1604
422	125804.2024
423	125647.1535
424	125456.1146
425	125399.8085
426	125311.2735
427	125135.1349
428	125113.9287
429	124929.3715
430	124754.7433
431	124667.0451
432	124650.2084
433	124549.8412
434	124386.9239
435	124339.0953
436	124258.1451
437	124185.5089
438	123952.5902
439	123882.8905
440	123815.5371
441	123746.5608
442	123589.0448
443	123422.4097
444	123248.7123
445	123203.4369
446	123097.4669
447	122981.3832
448	122851.8039
449	122837.8427
450	122651.1501
451	122417.7502
452	122241.8438
453	122091.5857
454	121930.1294
455	121805.9269
456	121632.9349
457	121465.9114
458	121397.4873
459	121276.55
460	121201.3064
461	121015.2885
462	120844.2248
463	120710.802
464	120642.8249
465	120626.4777
466	120390.3148
467	120233.193
468	120172.4314
469	120113.8525
470	119907.8191
471	119775.0955
472	119757.7503
473	119570.5892
474	119369.5813
475	119234.221
476	119033.5162
477	119023.0354
478	118914.9451
479	118803.0849
480	118658.5158
481	118591.4107
482	118463.2399
483	118294.7268
484	118084.787
485	117876.5555
486	117821.7016
487	117726.8994
488	117604.6063
489	117531.3929
490	117399.5326
491	117388.7691
492	117225.811
493	117070.4084
494	116902.6806
495	116786.152
496	116776.104
497	116621.681
498	116572.6461
499	116431.1783
500	116332.9536
501	116285.5223
502	116210.299
503	116167.5254
504	116025.0096
505	115959.283
506	115810.5436
507	115796.9235
508	115711.4325
509	115568.2886
510	115436.0596
511	115309.4073
512	115198.3762
513	115091.4115
514	114951.2164
515	114866.9309
516	114777.0789
517	114627.2619
518	114500.133
519	114369.2235
520	114280.6267
521	114168.4927
522	114072.7369
523	114018.9736
524	113900.4856
525	113814.4143
526	113630.1245
527	113545.1135
528	113471.9496
529	113332.9704
530	113299.6626
531	113252.4905
532	113083.4405
533	112971.3709
534	112881.6754
535	112736.1241
536	112618.0209
537	112549.6576
538	112422.7707
539	112298.7656
540	112199.5409
541	112071.3555
542	112027.376
543	111806.5196
544	111763.5624
545	111675.8431
546	111564.0624
547	111429.3584
548	111363.9368
549	111307.4737
550	111251.2097
551	111149.7125
552	111036.2247
553	110920.7245
554	110840.4884
555	110699.6822
556	110581.8476
557	110464.069
558	110364.2599
559	110282.5626
560	110207.6927
561	110119.3501
562	109923.5277
563	109860.39
564	109754.633
565	109653.799
566	109589.5828
567	109505.784
568	109400.555
569	109317.7126
570	109264.1085
571	109173.1287
572	109068.1332
573	109018.6117
574	108946.188
575	108914.073
576	108829.9202
577	108706.1796
578	108626.7626
579	108529.4303
580	108420.811
581	108350.2547
582	108260.0557
583	108202.5025
584	108098.3056
585	108060.1482
586	107991.1812
587	107952.1429
588	107879.3595
589	107789.615
590	107765.2529
591	107666.2692
592	107593.0987
593	107495.706
594	107427.3449
595	107278.9589
596	107230.6122
597	107118.7806
598	107038.1232
599	106885.488
600	106832.898
601	106787.6289
602	106683.0115
603	106656.4795
604	106578.9972
605	106492.5517
606	106353.3886
607	106315.6942
608	106237.3428
609	106129.349
610	106041.574
611	105949.5399
612	105821.031
613	105685.1333
614	105546.3721
615	105456.8999
616	105420.6518
617	105348.885
618	105279.3192
619	105171.1162
620	105084.2551
621	105025.0125
622	104903.2977
623	104791.9179
624	104691.4077
625	104608.0915
626	104519.1582
627	104451.6154
628	104412.3336
629	104357.2271
630	104277.9686
631	104234.815
632	104168.2025
633	104086.8576
634	103983.5608
635	103917.3498
636	103836.3412
637	103696.6362
