iter	RMSE
0	601524.7858
1	588755.9315
2	576818.3909
3	565366.2825
4	553644.5175
5	542527.8317
6	531989.5144
7	520995.9899
8	510723.3277
9	499927.0208
10	490329.2891
11	481402.1015
12	471984.4003
13	463131.2808
14	454768.3788
15	446575.6631
16	438708.071
17	430888.2547
18	423399.3879
19	415926.2059
20	408639.581
21	401986.8985
22	395323.5019
23	389035.641
24	383158.5717
25	377240.1608
26	372146.1345
27	366542.9609
28	361355.1698
29	355936.9819
30	350726.3886
31	345779.1053
32	341213.3448
33	336717.8873
34	332251.4097
35	328058.5397
36	323697.9716
37	319537.3102
38	315644.4091
39	311871.3427
40	308112.8299
41	304593.9078
42	301271.3796
43	298053.7773
44	294796.3647
45	291439.0004
46	288397.8714
47	285658.9702
48	282662.0103
49	280110.8248
50	277498.7861
51	274597.9235
52	272402.7317
53	270157.6378
54	267585.4162
55	265415.8925
56	263162.817
57	261259.8167
58	259045.5428
59	256995.9357
60	255004.9074
61	253051.5625
62	251312.6513
63	249671.5941
64	247999.9014
65	246145.7161
66	244314.1695
67	242525.7852
68	240726.6301
69	239228.553
70	237611.083
71	236333.0312
72	235097.953
73	233684.71
74	232325.3028
75	230987.1907
76	229644.0459
77	228316.3454
78	226946.5613
79	225813.6616
80	224556.1512
81	223869.2747
82	222714.3829
83	221611.7878
84	220663.9828
85	219527.2152
86	218468.9392
87	217420.2906
88	216448.4172
89	215325.4696
90	214418.3806
91	213654.1513
92	213071.8357
93	212316.6331
94	211639.9904
95	210883.7166
96	210405.839
97	209580.8256
98	208709.3154
99	208153.6752
100	207676.5837
101	206894.5711
102	206302.03
103	205523.55
104	205130.751
105	204685.8051
106	203950.1276
107	203450.4106
108	203135.133
109	202622.3354
110	202364.0692
111	201940.1135
112	201542.6768
113	201218.8959
114	200671.6881
115	200494.9438
116	199747.4194
117	199410.1024
118	199156.1836
119	198846.4273
120	198249.15
121	197905.1649
122	197593.3531
123	197054.034
124	196341.3747
125	195972.5625
126	195451.3319
127	195046.5894
128	194723.0023
129	194511.7107
130	194214.9496
131	193961.6566
132	193669.7083
133	193108.7478
134	192715.1486
135	192426.6192
136	192070.9448
137	191829.7474
138	191482.7164
139	191200.662
140	190944.4265
141	190701.0612
142	190489.8727
143	190264.9817
144	189876.5928
145	189642.3534
146	189415.9583
147	189258.2088
148	188650.9547
149	188429.8881
150	187955.1445
151	187816.6183
152	187589.6293
153	187390.7055
154	186827.9695
155	186670.0501
156	186089.303
157	185633.5881
158	185295.5263
159	184805.2336
160	184581.0538
161	184393.5544
162	184016.0677
163	183839.5721
164	183392.7979
165	183222.5476
166	183067.0313
167	182846.6915
168	182450.2273
169	182284.2395
170	181767.3903
171	181340.6111
172	181117.1896
173	180925.3185
174	180829.4388
175	180241.5179
176	180077.7682
177	179642.2065
178	179503.5937
179	179286.6304
180	178933.1275
181	178394.8079
182	178053.0733
183	177828.2795
184	177654.8844
185	177170.0809
186	177025.3609
187	176865.0638
188	176709.9327
189	176182.9737
190	176100.2099
191	175944.3307
192	175807.8274
193	175702.6672
194	175315.0657
195	174853.0104
196	174683.2509
197	174562.8545
198	174087.4621
199	173823.5097
200	173677.8273
201	173646.1052
202	173603.8274
203	173300.2424
204	173186.4449
205	172844.1255
206	172761.5854
207	172365.2334
208	172250.5591
209	172190.8564
210	172018.5616
211	171734.1051
212	171603.5049
213	171207.799
214	171070.2721
215	170839.329
216	170358.1409
217	170252.6312
218	169979.0941
219	169770.3946
220	169735.4523
221	169711.2535
222	169597.7869
223	169506.3061
224	169360.4953
225	169262.1749
226	168991.2204
227	168634.406
228	168116.7424
229	167920.271
230	167751.167
231	167403.3478
232	167190.0634
233	167139.0038
234	167013.0318
235	166555.5212
236	166249.3744
237	166038.9223
238	165661.3749
239	165279.3213
240	165054.0081
241	164791.3631
242	164720.8526
243	164636.3158
244	164466.5871
245	164386.0565
246	164011.4106
247	163904.3093
248	163477.4029
249	163107.0758
250	163025.8018
251	162943.6693
252	162480.3474
253	162183.138
254	162157.8908
255	161798.4507
256	161508.1627
257	161176.8136
258	161100.7844
259	160847.1981
260	160525.6323
261	160156.0156
262	159733.8056
263	159461.0131
264	159159.4755
265	158926.6316
266	158641.594
267	158536.9726
268	158311.7179
269	158230.3496
270	157839.1181
271	157795.0908
272	157670.2322
273	157356.4016
274	157289.1835
275	157187.2004
276	156933.1665
277	156731.6604
278	156599.4091
279	156474.0904
280	155995.3783
281	155769.1708
282	155319.1778
283	155113.2686
284	155049.1108
285	155029.6528
286	154994.6415
287	154593.9888
288	154526.2995
289	154461.6786
290	154321.1906
291	154202.0662
292	153876.3895
293	153764.0906
294	153474.6999
295	153406.4257
296	153328.5759
297	153270.6057
298	152964.1169
299	152900.3035
300	152808.791
301	152741.1446
302	152670.9165
303	152597.8119
304	152289.0387
305	152236.5643
306	152165.3116
307	151946.8136
308	151867.8316
309	151619.5842
310	151542.9762
311	151207.0828
312	151062.8949
313	150995.7298
314	150927.0529
315	150889.0937
316	150811.4349
317	150766.0262
318	150703.3301
319	150640.2658
320	150292.2087
321	150087.3708
322	149869.6044
323	149610.6767
324	149550.254
325	149491.1529
326	149197.181
327	148900.6352
328	148847.2901
329	148737.4398
330	148397.4278
331	148200.08
332	147885.6436
333	147588.0098
334	147443.2162
335	147144.3234
336	147096.0531
337	146641.7681
338	146423.2341
339	146012.4293
340	145766.1829
341	145418.7266
342	145181.9694
343	145022.4453
344	144969.4646
345	144909.792
346	144851.5392
347	144808.4894
348	144758.8268
349	144713.5378
350	144553.0495
351	144281.735
352	144095.697
353	143804.9593
354	143578.0775
355	143292.6
356	143106.5201
357	142980.1279
358	142845.978
359	142806.0208
360	142709.9442
361	142664.0249
362	142563.5023
363	142422.2714
364	142132.4168
365	141883.9514
366	141756.1396
367	141496.6573
368	141344.4679
369	141225.5637
370	140950.4071
371	140789.2207
372	140751.7603
373	140717.4455
374	140419.1074
375	140269.9792
376	140014.9738
377	139849.375
378	139721.5091
379	139385.2744
380	139347.647
381	139232.149
382	138914.9269
383	138874.4531
384	138740.4795
385	138706.5373
386	138523.5128
387	138490.5333
388	138420.6517
389	138118.3446
390	138086.4548
391	137788.062
392	137675.2053
393	137642.5184
394	137605.474
395	137311.1922
396	137265.9693
397	137160.5339
398	137128.3446
399	136931.924
400	136653.6918
401	136618.4522
402	136583.3652
403	136314.4926
404	136246.6984
405	136088.507
406	136051.2469
407	135820.1708
408	135665.9938
409	135403.1305
410	135369.6209
411	135342.8007
412	135215.9701
413	134981.1133
414	134948.9049
415	134916.2955
416	134644.7802
417	134399.5557
418	134179.331
419	134152.2651
420	133890.5376
421	133859.9947
422	133694.429
423	133666.9267
424	133581.7176
425	133552.2751
426	133312.0478
427	133121.7063
428	133092.8042
429	132915.341
430	132645.3898
431	132499.0828
432	132331.1306
433	132306.7401
434	132241.0961
435	132021.915
436	131828.8055
437	131801.3235
438	131578.6647
439	131494.305
440	131467.3199
441	131440.9832
442	131263.0934
443	131063.3067
444	130923.9912
445	130753.0002
446	130672.7821
447	130514.1852
448	130438.7415
449	130211.6474
450	129989.9097
451	129878.0998
452	129852.7011
453	129797.2061
454	129648.5436
455	129561.3371
456	129365.9553
457	129150.8983
458	129068.1158
459	129026.4203
460	128811.3089
461	128577.082
462	128321.0899
463	128265.4664
464	128242.2072
465	128214.5201
466	128027.1042
467	127949.1568
468	127769.9877
469	127713.5278
470	127507.6879
471	127307.5787
472	127234.5523
473	127208.0969
474	127020.9021
