iter	RMSE
0	601724.653
1	588986.2957
2	576862.8248
3	565253.8417
4	554295.8626
5	542732.6079
6	531416.9447
7	520917.1657
8	510301.6971
9	500671.1417
10	490576.0084
11	480831.4108
12	471362.7486
13	462179.9075
14	454068.3339
15	445476.1798
16	437571.5322
17	429746.0939
18	422114.4826
19	414652.3842
20	407819.1374
21	400975.8568
22	394826.793
23	388515.9571
24	382418.6015
25	376599.9871
26	371336.1746
27	365932.719
28	360588.4524
29	355446.7946
30	350447.8093
31	345901.9486
32	341069.3393
33	336537.5883
34	332739.2918
35	328461.6482
36	324149.8327
37	320388.0289
38	316785.2107
39	313033.8237
40	309130.5292
41	305794.3873
42	302248.9432
43	299222.8378
44	296051.3609
45	292933.4139
46	290067.3033
47	287340.4091
48	284370.6166
49	281389.7218
50	278714.6791
51	275994.748
52	273117.4187
53	270729.1875
54	268319.3863
55	265912.0556
56	263467.6008
57	261354.7457
58	259716.4844
59	257767.7859
60	255820.8213
61	253875.2175
62	252196.9219
63	250133.4792
64	248529.2301
65	246873.2673
66	245602.2523
67	243719.7985
68	242093.0042
69	240854.1091
70	239396.0358
71	237997.6519
72	236872.3738
73	235418.6656
74	234116.6749
75	232822.0533
76	231451.9206
77	230164.5064
78	229138.5121
79	227853.5928
80	226865.4201
81	225698.7309
82	224455.64
83	223542.1443
84	222538.6233
85	221304.4641
86	220415.5473
87	219627.6279
88	218739.3399
89	217832.1145
90	216971.4548
91	215840.4379
92	215135.8348
93	214359.6523
94	213408.3537
95	212835.0861
96	211875.2287
97	211417.0699
98	210547.4471
99	209736.1125
100	208787.5612
101	207991.6223
102	207285.933
103	206790.9294
104	206364.6723
105	205901.5955
106	205147.7365
107	204450.9519
108	203901.664
109	203459.2857
110	202963.6913
111	202595.1993
112	202211.3292
113	201881.337
114	201544.7744
115	201180.7643
116	200744.3903
117	200406.888
118	199897.39
119	199147.3851
120	198550.4615
121	198238.8809
122	197955.1771
123	197137.2121
124	196482.345
125	195999.9323
126	195484.7511
127	194890.2785
128	194604.9741
129	194169.2617
130	193789.0783
131	193145.031
132	192648.3208
133	192387.9579
134	191956.4188
135	191491.726
136	191218.5002
137	190943.1857
138	190742.2638
139	190444.2849
140	190208.3414
141	190018.581
142	189797.4967
143	189566.1082
144	189362.7063
145	189086.2459
146	188693.7459
147	188466.659
148	187898.4042
149	187369.3895
150	186853.1153
151	186658.9573
152	186471.1178
153	186280.705
154	186076.1149
155	185810.2623
156	185626.9354
157	185385.9813
158	184971.55
159	184591.5099
160	184431.9628
161	183946.5641
162	183773.1917
163	183619.2003
164	183462.1149
165	182959.9953
166	182786.3468
167	182714.3013
168	182336.0588
169	181959.0968
170	181516.2971
171	181086.9224
172	180931.4006
173	180655.1277
174	180349.2624
175	180198.4401
176	179693.9283
177	179261.5992
178	179134.0846
179	178982.2636
180	178564.7442
181	178514.066
182	178472.5664
183	178335.5024
184	178193.9251
185	177856.6003
186	177184.3018
187	177037.3945
188	176895.0959
189	176643.9367
190	176122.7709
191	175970.0759
192	175858.3051
193	175704.9797
194	175574.9156
195	174956.0423
196	174913.6322
197	174460.7028
198	174363.2135
199	174152.636
200	173802.4483
201	173417.0387
202	173305.6119
203	173186.1253
204	172731.0834
205	172592.4081
206	172383.4498
207	172082.2825
208	171581.0568
209	171469.0011
210	171349.4898
211	170846.974
212	170558.7753
213	170458.3399
214	170370.5499
215	169963.8965
216	169929.5638
217	169345.7623
218	169267.6263
219	169202.4614
220	169177.6391
221	168861.9946
222	168743.8043
223	168219.698
224	168118.3732
225	167947.0645
226	167645.3336
227	167519.8233
228	167423.8625
229	167066.3132
230	166979.3354
231	166954.6459
232	166628.7256
233	166541.0083
234	166459.0788
235	166438.7768
236	165945.4863
237	165535.1703
238	165348.4965
239	165104.5708
240	164846.668
241	164767.7233
242	164338.9576
243	163899.2658
244	163546.9725
245	163460.3413
246	163384.939
247	163292.0507
248	163165.9314
249	162993.1505
250	162920.4279
251	162893.5845
252	162780.2249
253	162699.8271
254	162568.9299
255	162051.4922
256	161674.2474
257	161607.3466
258	161383.5837
259	161214.9908
260	160938.8214
261	160464.9055
262	159901.2777
263	159566.9769
264	159353.6715
265	159278.8875
266	159174.5806
267	159091.3458
268	158762.2416
269	158690.699
270	158215.4202
271	157917.8647
272	157444.3957
273	157174.2424
274	157102.0563
275	157044.4267
276	157008.289
277	156887.1898
278	156818.1508
279	156664.1392
280	156272.5434
281	156219.7067
282	155811.9878
283	155389.6131
284	155061.0602
285	154831.7493
286	154771.5985
287	154709.8936
288	154368.3845
289	154311.1745
290	154255.9901
291	154206.2332
292	153844.1679
293	153560.8543
294	153505.5418
295	153412.4015
296	153160.9631
297	153106.524
298	153033.8505
299	152970.1053
300	152873.3461
301	152808.9648
302	152725.8606
303	152646.948
304	152320.3984
305	152272.266
306	152133.191
307	151803.4689
308	151497.6766
309	151175.3271
310	151128.985
311	151083.3918
312	150843.6288
313	150464.7639
314	150420.871
315	150378.0586
316	150106.079
317	149884.1217
318	149544.8404
319	149502.9413
320	149437.5273
321	149372.8278
322	149096.5531
323	149033.6952
324	148986.0817
325	148826.2224
326	148782.5941
327	148745.6351
328	148399.8061
329	148077.328
330	147994.1129
331	147821.6755
332	147785.202
333	147493.9897
334	147259.1862
335	147032.5674
336	146920.5733
337	146593.067
338	146558.9681
339	146230.0481
340	146051.0356
341	145733.9281
342	145605.9691
343	145329.2503
344	145251.7456
345	144874.1662
346	144841.0667
347	144563.6846
348	144448.7603
349	144188.5374
350	143925.3984
351	143684.7886
352	143444.427
353	143413.0976
354	143135.8224
355	143076.7713
356	142818.8236
357	142768.3066
358	142718.7603
359	142658.769
360	142406.3841
361	142358.6699
362	142074.435
363	141906.7076
364	141619.2558
365	141426.5354
366	141254.84
367	141004.4558
368	140852.9055
369	140637.3484
370	140589.701
371	140452.7514
372	140409.8551
373	140184.0792
374	139921.6314
375	139872.7841
376	139673.2818
377	139469.4557
378	139224.8864
379	139173.6074
380	139132.9553
381	138907.6739
382	138877.9519
383	138614.9836
384	138354.7423
385	138342.8777
386	138305.7857
387	138274.0391
388	137964.0991
389	137757.7987
390	137599.2595
391	137432.9143
392	137383.506
393	137202.5527
394	136992.0899
395	136964.2548
396	136717.2484
397	136506.3111
398	136465.5322
