iter	Passed	Remaining
0	6	10865
1	9	8536
2	16	9766
3	33	14932
4	42	15416
5	51	15402
6	57	14643
7	60	13624
8	63	12546
9	65	11796
10	69	11233
11	74	11127
12	78	10770
13	81	10408
14	85	10125
15	94	10560
16	102	10775
17	109	10886
18	117	11011
19	120	10746
20	123	10451
21	127	10278
22	130	10104
23	134	9972
24	137	9787
25	141	9650
26	145	9540
27	149	9458
28	152	9303
29	155	9193
30	159	9118
31	163	9033
32	166	8936
33	169	8821
34	171	8639
35	174	8564
36	177	8471
37	181	8424
38	194	8804
39	205	9028
40	218	9385
41	227	9529
42	234	9593
43	242	9681
44	250	9778
45	257	9831
46	263	9824
47	270	9881
48	282	10112
49	295	10338
50	304	10448
51	315	10608
52	324	10708
53	335	10833
54	343	10903
55	351	10960
56	359	11007
57	366	11015
58	372	10999
59	378	10980
60	385	10998
61	389	10912
62	392	10829
63	395	10736
64	400	10691
65	404	10634
66	408	10553
67	412	10499
68	415	10430
69	422	10438
70	426	10379
71	429	10314
72	433	10249
73	436	10173
74	439	10105
75	442	10039
76	445	9973
77	448	9910
78	452	9854
79	455	9794
80	458	9733
81	461	9676
82	464	9616
83	467	9556
84	471	9504
85	474	9459
86	477	9403
87	482	9393
88	489	9419
89	492	9362
90	498	9362
91	505	9375
92	511	9386
93	520	9444
94	528	9492
95	551	9786
96	570	10023
97	577	10037
98	622	10701
99	679	11557
100	691	11634
101	698	11635
102	705	11616
103	714	11647
104	723	11674
105	731	11682
106	737	11676
107	744	11661
108	751	11659
109	756	11625
110	762	11609
111	766	11545
112	769	11482
113	937	13859
114	1049	15382
115	1203	17475
116	1220	17554
117	1231	17550
118	1244	17576
119	1301	18220
120	1320	18329
121	1328	18276
122	1336	18218
123	1342	18151
124	1352	18120
125	1355	18009
126	1358	17897
127	1361	17786
128	1364	17673
129	1367	17566
130	1370	17456
131	1373	17352
132	1376	17251
133	1379	17144
134	1381	17041
135	1384	16937
136	1386	16828
137	1390	16741
138	1392	16641
139	1395	16549
140	1398	16453
141	1401	16358
142	1403	16268
143	1406	16174
144	1409	16085
145	1411	15993
146	1414	15904
147	1417	15824
148	1420	15739
149	1423	15661
150	1426	15580
151	1429	15499
152	1431	15410
153	1433	15324
154	1436	15245
155	1439	15167
156	1443	15110
157	1446	15033
158	1449	14959
159	1452	14888
160	1455	14813
161	1458	14743
162	1460	14666
163	1462	14593
164	1465	14517
165	1467	14444
166	1470	14376
167	1472	14306
168	1475	14240
169	1478	14176
170	1481	14113
171	1484	14050
172	1487	13984
173	1489	13922
174	1492	13859
175	1496	13806
176	1499	13746
177	1502	13693
178	1505	13630
179	1507	13570
180	1511	13518
181	1513	13458
182	1515	13390
183	1517	13331
184	1520	13276
185	1524	13232
186	1531	13208
187	1538	13191
188	1540	13133
189	1543	13081
190	1551	13066
191	1554	13018
192	1556	12957
193	1558	12902
194	1561	12851
195	1564	12801
196	1567	12756
197	1572	12723
198	1575	12673
199	1578	12624
200	1582	12588
201	1587	12556
202	1590	12511
203	1598	12508
204	1605	12493
205	1610	12460
206	1612	12411
207	1615	12366
208	1618	12322
209	1621	12276
210	1624	12233
211	1627	12189
212	1630	12149
213	1633	12108
214	1637	12074
215	1641	12039
216	1643	11986
217	1646	11950
218	1650	11917
219	1656	11895
220	1657	11840
221	1659	11798
222	1662	11758
223	1666	11724
224	1670	11690
225	1672	11650
226	1675	11612
227	1679	11580
228	1682	11543
229	1696	11578
230	1702	11560
231	1710	11562
232	1743	11728
233	1752	11726
234	1758	11710
235	1761	11671
236	1772	11689
237	1783	11706
238	1792	11708
239	1804	11726
240	1814	11736
241	1821	11724
242	1830	11730
243	1844	11762
244	1852	11760
245	1860	11755
246	1864	11724
247	1870	11707
248	1876	11686
249	1883	11675
250	1886	11641
251	1890	11610
252	1893	11575
253	1898	11552
254	1904	11536
255	1906	11500
256	1913	11489
257	1918	11467
258	1921	11434
259	1929	11426
260	1932	11393
261	1937	11374
262	1940	11341
263	1945	11321
264	1949	11291
265	1952	11262
266	1955	11228
267	1958	11195
268	1962	11167
269	1965	11136
270	1968	11105
271	1971	11073
272	1974	11042
273	1977	11015
274	1980	10982
275	1982	10949
276	1985	10918
277	1990	10896
278	2001	10911
279	2007	10896
280	2011	10872
281	2013	10838
282	2017	10816
283	2020	10786
284	2023	10756
285	2034	10768
286	2039	10754
287	2043	10730
288	2047	10703
289	2050	10675
290	2052	10641
291	2053	10607
292	2058	10589
293	2061	10559
294	2069	10556
295	2073	10535
296	2077	10512
297	2086	10515
298	2095	10517
299	2104	10521
300	2113	10527
301	2121	10525
302	2131	10530
303	2139	10526
304	2147	10524
305	2152	10509
306	2160	10505
307	2167	10497
308	2175	10495
309	2183	10492
310	2189	10483
311	2323	11080
312	2419	11494
313	2533	11988
314	2731	12875
315	2742	12877
316	2747	12855
317	2755	12842
318	2763	12828
319	2771	12817
320	2779	12806
321	2785	12785
322	2792	12767
323	2798	12749
324	2804	12729
325	2812	12715
326	2822	12712
327	2829	12696
328	2838	12691
329	2848	12688
330	2856	12676
331	2866	12674
332	2874	12665
333	2884	12659
334	2895	12660
335	2903	12651
336	2909	12632
337	2918	12623
338	2925	12609
339	2929	12579
340	2932	12545
341	2934	12512
342	2937	12480
343	2942	12453
344	2945	12421
345	2948	12389
346	2951	12360
347	2955	12330
348	2958	12299
349	2961	12270
350	2964	12239
351	2967	12208
352	2971	12179
353	2974	12149
354	2977	12120
355	2980	12088
356	2984	12062
357	2992	12053
358	3000	12045
359	3008	12035
360	3016	12023
361	3023	12009
362	3031	12000
363	3038	11985
364	3046	11978
365	3056	11974
366	3062	11958
367	3069	11943
368	3074	11923
369	3080	11904
370	3087	11891
371	3094	11878
372	3100	11863
373	3110	11858
374	3118	11851
375	3130	11855
376	3134	11831
377	3138	11805
378	3141	11780
379	3144	11752
380	3149	11730
381	3155	11713
382	3161	11698
383	3165	11673
384	3169	11647
385	3173	11623
386	3175	11595
387	3178	11565
388	3181	11541
389	3184	11514
390	3187	11487
391	3190	11460
392	3193	11434
393	3196	11407
394	3200	11384
395	3203	11359
396	3207	11335
397	3211	11311
398	3214	11287
399	3216	11259
400	3221	11239
401	3224	11214
402	3226	11186
403	3230	11163
404	3233	11138
405	3238	11117
406	3244	11103
407	3250	11088
408	3256	11074
409	3259	11050
410	3262	11026
411	3264	10998
412	3268	10976
413	3271	10951
414	3275	10931
415	3279	10909
416	3282	10886
417	3285	10861
418	3288	10837
419	3292	10817
420	3299	10807
421	3306	10796
422	3312	10784
423	3319	10771
424	3326	10763
425	3336	10762
426	3344	10752
427	3350	10739
428	3356	10726
429	3359	10703
430	3366	10694
431	3371	10677
432	3376	10660
433	3380	10639
434	3382	10613
435	3385	10590
436	3387	10566
437	3390	10543
438	3393	10521
439	3396	10498
440	3399	10476
441	3402	10454
442	3406	10433
443	3408	10409
444	3411	10388
445	3414	10365
446	3417	10343
447	3420	10322
448	3424	10302
449	3429	10288
450	3433	10271
451	3441	10264
452	3448	10252
453	3455	10244
454	3461	10231
455	3467	10220
456	3473	10207
457	3480	10198
458	3487	10187
459	3494	10180
460	3502	10173
461	3508	10160
462	3515	10152
463	3524	10146
464	3529	10133
465	3541	10139
466	3549	10132
467	3560	10132
468	3571	10135
469	3582	10136
470	3593	10138
471	3606	10148
472	3625	10172
473	3636	10174
474	3645	10169
475	3655	10166
476	3660	10153
477	3667	10141
478	3673	10132
479	3680	10120
480	3687	10110
481	3693	10098
482	3699	10086
483	3705	10076
484	3712	10065
485	3719	10056
486	3747	10103
487	3848	10347
488	3958	10611
489	4071	10884
490	4082	10884
491	4088	10868
492	4095	10857
493	4102	10846
494	4110	10836
495	4118	10827
496	4124	10813
497	4133	10807
498	4141	10797
499	4147	10783
500	4154	10771
501	4160	10757
502	4168	10748
503	4178	10744
504	4186	10736
505	4196	10732
506	4207	10729
507	4216	10722
508	4225	10716
509	4234	10709
510	4243	10703
511	4252	10697
512	4260	10689
513	4267	10676
514	4270	10655
515	4273	10634
516	4276	10613
517	4280	10592
518	4282	10570
519	4286	10552
520	4289	10530
521	4292	10510
522	4296	10489
523	4299	10469
524	4302	10448
525	4305	10427
526	4307	10404
527	4310	10384
528	4313	10364
529	4316	10343
530	4319	10322
531	4322	10302
532	4325	10281
533	4328	10261
534	4331	10241
535	4334	10221
536	4337	10202
537	4341	10183
538	4344	10163
539	4347	10144
540	4351	10126
541	4354	10107
542	4357	10087
543	4361	10069
544	4365	10051
545	4367	10030
546	4370	10012
547	4374	9994
548	4377	9974
549	4380	9955
550	4383	9935
551	4385	9916
552	4389	9897
553	4392	9879
554	4395	9860
555	4398	9841
556	4402	9824
557	4405	9805
558	4408	9786
559	4413	9771
560	4416	9753
561	4419	9735
562	4425	9723
563	4428	9705
564	4431	9686
565	4435	9669
566	4438	9652
567	4444	9640
568	4447	9621
569	4450	9603
570	4453	9585
571	4458	9572
572	4461	9554
573	4465	9536
574	4468	9519
575	4472	9503
576	4476	9487
577	4479	9469
578	4482	9452
579	4485	9434
580	4490	9420
581	4493	9404
582	4496	9387
583	4500	9370
584	4505	9357
585	4508	9339
586	4511	9322
587	4514	9305
588	4517	9288
589	4522	9274
590	4525	9257
591	4528	9239
592	4531	9222
593	4535	9208
594	4539	9192
595	4545	9183
596	4551	9171
597	4555	9157
598	4558	9140
599	4573	9147
600	4580	9137
601	4587	9130
602	4592	9117
603	4596	9101
604	4599	9084
605	4608	9080
606	4617	9074
607	4632	9081
608	4640	9075
609	4647	9066
610	4653	9056
611	4660	9046
612	4666	9036
613	4673	9027
614	4679	9015
615	4686	9007
616	4694	9001
617	4701	8992
618	4707	8981
619	4709	8963
620	4712	8947
621	4717	8935
622	4720	8917
623	4722	8900
624	4725	8883
625	4728	8867
626	4732	8854
627	4736	8839
628	4739	8824
629	4742	8807
630	4745	8791
631	4751	8780
632	4754	8765
633	4757	8748
634	4759	8732
635	4763	8718
636	4769	8708
637	4776	8698
638	4779	8683
639	4783	8669
640	4786	8655
641	4790	8640
642	4793	8625
643	4797	8612
644	4801	8597
645	4804	8582
646	4807	8566
647	4810	8552
648	4815	8540
649	4818	8525
650	4821	8509
651	4825	8496
652	4830	8484
653	4833	8470
654	4836	8454
655	4839	8438
656	4841	8423
657	4846	8411
658	4850	8397
659	4853	8383
660	4856	8368
661	4861	8356
662	4865	8343
663	4868	8328
664	4871	8314
665	4874	8299
666	4878	8287
667	4881	8272
668	4884	8257
669	4887	8243
670	4890	8227
671	4893	8214
672	4901	8208
673	4903	8192
674	4906	8177
675	4909	8162
676	4914	8152
677	4917	8137
678	4920	8123
679	4924	8110
680	4928	8098
681	4931	8083
682	4934	8070
683	4937	8056
684	4940	8041
685	4943	8028
686	4947	8014
687	4949	8000
688	4952	7985
689	4956	7973
690	4959	7959
691	4963	7947
692	4966	7933
693	4969	7919
694	4971	7904
695	4976	7893
696	4979	7880
697	4982	7865
698	4984	7851
699	4988	7838
700	4994	7829
701	4996	7815
702	4999	7802
703	5002	7787
704	5004	7773
705	5009	7762
706	5012	7749
707	5015	7735
708	5017	7721
709	5020	7707
710	5023	7693
711	5026	7680
712	5029	7667
713	5032	7654
714	5035	7641
715	5040	7630
716	5045	7621
717	5050	7610
718	5053	7597
719	5146	7720
720	5243	7846
721	5352	7991
722	5487	8174
723	5499	8172
724	5506	8164
725	5513	8156
726	5520	8148
727	5527	8138
728	5533	8129
729	5538	8118
730	5546	8110
731	5553	8103
732	5560	8094
733	5567	8086
734	5577	8081
735	5585	8074
736	5592	8066
737	5600	8058
738	5609	8053
739	5618	8047
740	5628	8043
741	5635	8035
742	5642	8027
743	5652	8023
744	5663	8019
745	5675	8018
746	5688	8018
747	5704	8022
748	5718	8024
749	5728	8019
750	5760	8046
751	5787	8065
752	5875	8169
753	5887	8167
754	5896	8161
755	5903	8152
756	5915	8150
757	5926	8147
758	5936	8142
759	5941	8129
760	5943	8115
761	5947	8101
762	5951	8088
763	5958	8080
764	5963	8067
765	5967	8055
766	5975	8047
767	5980	8036
768	5983	8022
769	5989	8012
770	5995	8001
771	5998	7987
772	6002	7974
773	6004	7960
774	6012	7952
775	6021	7946
776	6030	7939
777	6040	7934
778	6049	7928
779	6060	7924
780	6068	7917
781	6076	7910
782	6085	7903
783	6100	7905
784	6106	7895
785	6110	7883
786	6114	7870
787	6121	7861
788	6128	7852
789	6134	7843
790	6140	7832
791	6144	7820
792	6148	7807
793	6152	7795
794	6158	7785
795	6166	7777
796	6172	7768
797	6179	7759
798	6188	7753
799	6198	7748
800	6206	7740
801	6215	7734
802	6225	7729
803	6234	7723
804	6242	7715
805	6249	7707
806	6258	7701
807	6269	7697
808	6278	7690
809	6284	7680
810	6290	7670
811	6297	7662
812	6304	7653
813	6311	7644
814	6319	7637
815	6325	7627
816	6331	7618
817	6339	7610
818	6347	7602
819	6354	7593
820	6361	7585
821	6368	7576
822	6375	7568
823	6383	7560
824	6390	7551
825	6396	7543
826	6402	7532
827	6409	7523
828	6413	7512
829	6419	7502
830	6426	7494
831	6434	7486
832	6442	7479
833	6450	7471
834	6465	7471
835	6684	7707
836	6779	7799
837	6884	7903
838	7133	8171
839	7147	8168
840	7158	8163
841	7168	8155
842	7175	8145
843	7181	8134
844	7188	8124
845	7194	8113
846	7199	8100
847	7206	8090
848	7211	8078
849	7220	8069
850	7228	8061
851	7233	8048
852	7240	8038
853	7248	8029
854	7257	8021
855	7266	8013
856	7274	8004
857	7282	7995
858	7287	7983
859	7291	7969
860	7294	7955
861	7297	7940
862	7301	7927
863	7305	7914
864	7308	7899
865	7311	7885
866	7314	7871
867	7318	7858
868	7322	7845
869	7325	7831
870	7328	7816
871	7336	7808
872	7339	7793
873	7342	7779
874	7347	7767
875	7350	7753
876	7353	7739
877	7357	7725
878	7361	7713
879	7364	7699
880	7369	7687
881	7373	7673
882	7376	7660
883	7382	7649
884	7386	7637
885	7392	7626
886	7399	7616
887	7404	7604
888	7412	7595
889	7423	7590
890	7430	7580
891	7437	7571
892	7444	7561
893	7452	7552
894	7461	7544
895	7468	7535
896	7476	7526
897	7484	7517
898	7491	7508
899	7507	7507
900	7514	7497
901	7517	7483
902	7520	7470
903	7523	7457
904	7526	7443
905	7529	7429
906	7532	7416
907	7535	7402
908	7538	7389
909	7542	7376
910	7545	7363
911	7547	7349
912	7550	7335
913	7553	7322
914	7557	7310
915	7561	7296
916	7565	7284
917	7569	7272
918	7571	7258
919	7575	7246
920	7579	7233
921	7581	7219
922	7590	7212
923	7592	7198
924	7595	7185
925	7598	7171
926	7603	7161
927	7611	7152
928	7614	7139
929	7618	7126
930	7622	7114
931	7625	7102
932	7628	7089
933	7632	7076
934	7635	7063
935	7638	7050
936	7641	7037
937	7647	7027
938	7652	7016
939	7655	7003
940	7658	6991
941	7662	6979
942	7665	6966
943	7668	6953
944	7676	6945
945	7680	6933
946	7684	6921
947	7691	6912
948	7699	6903
949	7707	6896
950	7714	6886
951	7719	6876
952	7727	6867
953	7734	6858
954	7740	6848
955	7747	6839
956	7753	6830
957	7759	6819
958	7762	6807
959	7766	6795
960	7769	6783
961	7772	6770
962	7779	6761
963	7796	6761
964	7812	6759
965	7823	6754
966	7836	6750
967	7845	6743
968	7855	6736
969	7862	6727
970	7868	6717
971	7875	6708
972	7880	6698
973	7885	6687
974	7888	6675
975	7895	6665
976	7901	6656
977	7907	6646
978	7912	6635
979	7919	6626
980	7926	6617
981	7933	6608
982	7939	6598
983	7949	6592
984	7954	6581
985	7962	6573
986	7968	6563
987	7974	6554
988	7981	6544
989	7988	6536
990	7994	6526
991	7999	6515
992	8005	6505
993	8016	6500
994	8025	6492
995	8034	6485
996	8042	6477
997	8050	6469
998	8060	6462
999	8069	6455
1000	8077	6447
1001	8087	6440
1002	8096	6433
1003	8105	6426
1004	8115	6419
1005	8122	6410
1006	8137	6408
1007	8230	6466
1008	8344	6541
1009	8608	6733
1010	8622	6729
1011	8632	6721
1012	8644	6715
1013	8654	6708
1014	8668	6703
1015	8680	6698
1016	8693	6693
1017	8705	6687
1018	8713	6678
1019	8722	6670
1020	8731	6661
1021	8740	6653
1022	8748	6644
1023	8757	6636
1024	8765	6627
1025	8775	6619
1026	8785	6612
1027	8797	6606
1028	8806	6598
1029	8816	6591
1030	8825	6582
1031	8831	6572
1032	8838	6562
1033	8845	6552
1034	8852	6543
1035	8860	6534
1036	8866	6524
1037	8873	6514
1038	8880	6504
1039	8888	6495
1040	8896	6486
1041	8902	6476
1042	8910	6466
1043	8917	6457
1044	8923	6447
1045	8931	6437
1046	8940	6429
1047	8946	6419
1048	8952	6409
1049	8957	6398
1050	8964	6388
1051	8970	6378
1052	8977	6368
1053	8985	6359
1054	8996	6353
1055	9015	6351
1056	9029	6347
1057	9039	6339
1058	9046	6330
1059	9058	6323
1060	9062	6311
1061	9068	6301
1062	9071	6289
1063	9074	6276
1064	9077	6265
1065	9082	6253
1066	9085	6241
1067	9088	6229
1068	9090	6216
1069	9093	6204
1070	9096	6191
1071	9100	6179
1072	9103	6168
1073	9109	6158
1074	9115	6147
1075	9119	6136
1076	9123	6124
1077	9127	6113
1078	9131	6102
1079	9135	6090
1080	9139	6078
1081	9142	6066
1082	9145	6054
1083	9149	6043
1084	9153	6031
1085	9156	6019
1086	9159	6008
1087	9162	5996
1088	9166	5984
1089	9169	5972
1090	9172	5960
1091	9175	5948
1092	9177	5936
1093	9180	5924
1094	9184	5913
1095	9187	5901
1096	9190	5889
1097	9193	5877
1098	9195	5865
1099	9199	5854
1100	9202	5842
1101	9205	5830
1102	9208	5818
1103	9215	5809
1104	9224	5801
1105	9231	5792
1106	9239	5783
1107	9246	5774
1108	9252	5765
1109	9258	5755
1110	9264	5745
1111	9269	5735
1112	9276	5725
1113	9280	5714
1114	9287	5705
1115	9291	5694
1116	9295	5683
1117	9298	5672
1118	9303	5662
1119	9309	5652
1120	9315	5642
1121	9321	5633
1122	9326	5622
1123	9332	5612
1124	9338	5603
1125	9346	5594
1126	9352	5584
1127	9359	5575
1128	9365	5566
1129	9372	5557
1130	9380	5548
1131	9386	5539
1132	9393	5529
1133	9400	5520
1134	9408	5512
1135	9413	5502
1136	9418	5492
1137	9424	5482
1138	9433	5474
1139	9437	5463
1140	9439	5451
1141	9444	5441
1142	9446	5430
1143	9450	5419
1144	9453	5408
1145	9456	5396
1146	9460	5385
1147	9462	5374
1148	9465	5363
1149	9468	5351
1150	9471	5340
1151	9474	5329
1152	9477	5318
1153	9481	5307
1154	9484	5296
1155	9487	5285
1156	9491	5274
1157	9494	5263
1158	9497	5252
1159	9499	5241
1160	9501	5229
1161	9505	5218
1162	9508	5208
1163	9511	5196
1164	9514	5186
1165	9517	5175
1166	9520	5163
1167	9522	5152
1168	9525	5141
1169	9528	5130
1170	9532	5120
1171	9535	5109
1172	9538	5098
1173	9541	5087
1174	9545	5077
1175	9548	5066
1176	9551	5055
1177	9556	5046
1178	9567	5039
1179	9573	5030
1180	9579	5020
1181	9586	5012
1182	9592	5003
1183	9599	4994
1184	9654	5010
1185	9768	5057
1186	9890	5107
1187	9974	5138
1188	9987	5132
1189	9996	5124
1190	10004	5115
1191	10013	5107
1192	10025	5101
1193	10039	5095
1194	10049	5087
1195	10060	5080
1196	10074	5075
1197	10084	5067
1198	10094	5059
1199	10106	5053
1200	10116	5045
1201	10125	5037
1202	10135	5029
1203	10143	5021
1204	10149	5011
1205	10154	5001
1206	10160	4991
1207	10167	4982
1208	10173	4973
1209	10180	4964
1210	10187	4954
1211	10193	4945
1212	10198	4935
1213	10204	4925
1214	10209	4915
1215	10216	4906
1216	10221	4896
1217	10226	4886
1218	10236	4878
1219	10241	4869
1220	10247	4859
1221	10253	4849
1222	10258	4839
1223	10262	4829
1224	10268	4819
1225	10273	4810
1226	10278	4799
1227	10283	4789
1228	10288	4780
1229	10294	4770
1230	10301	4761
1231	10310	4753
1232	10321	4746
1233	10329	4737
1234	10336	4728
1235	10343	4719
1236	10348	4710
1237	10356	4701
1238	10368	4694
1239	10375	4685
1240	10384	4677
1241	10392	4669
1242	10398	4659
1243	10404	4650
1244	10406	4639
1245	10412	4629
1246	10415	4618
1247	10418	4608
1248	10421	4597
1249	10424	4586
1250	10430	4577
1251	10434	4567
1252	10436	4556
1253	10439	4545
1254	10443	4535
1255	10447	4524
1256	10450	4514
1257	10453	4503
1258	10456	4493
1259	10459	4482
1260	10462	4472
1261	10465	4461
1262	10470	4451
1263	10473	4441
1264	10476	4430
1265	10479	4420
1266	10482	4409
1267	10485	4399
1268	10488	4388
1269	10491	4378
1270	10495	4368
1271	10498	4358
1272	10501	4347
1273	10504	4336
1274	10507	4326
1275	10510	4316
1276	10513	4305
1277	10521	4297
1278	10530	4289
1279	10537	4280
1280	10544	4271
1281	10550	4263
1282	10558	4254
1283	10563	4245
1284	10570	4236
1285	10577	4227
1286	10580	4217
1287	10583	4207
1288	10586	4196
1289	10589	4186
1290	10593	4176
1291	10596	4166
1292	10599	4156
1293	10602	4145
1294	10605	4135
1295	10608	4125
1296	10611	4115
1297	10616	4105
1298	10622	4096
1299	10625	4086
1300	10629	4076
1301	10632	4066
1302	10634	4056
1303	10637	4046
1304	10639	4035
1305	10642	4025
1306	10646	4015
1307	10648	4005
1308	10651	3995
1309	10654	3985
1310	10657	3975
1311	10665	3967
1312	10671	3958
1313	10677	3949
1314	10687	3941
1315	10693	3932
1316	10695	3922
1317	10698	3912
1318	10702	3902
1319	10705	3892
1320	10707	3882
1321	10710	3872
1322	10714	3862
1323	10716	3852
1324	10719	3842
1325	10723	3833
1326	10726	3823
1327	10729	3813
1328	10731	3803
1329	10734	3793
1330	10737	3783
1331	10740	3773
1332	10743	3763
1333	10745	3753
1334	10748	3743
1335	10752	3734
1336	10755	3724
1337	10758	3714
1338	10761	3704
1339	10763	3694
1340	10766	3685
1341	10769	3675
1342	10771	3665
1343	10774	3655
1344	10777	3645
1345	10779	3635
1346	10782	3626
