iter	Passed	Remaining
0	33	59899
1	138	124638
2	243	145660
3	390	175528
4	405	145667
5	416	124438
6	426	109132
7	436	97875
8	446	88862
9	456	81692
10	466	75887
11	486	72487
12	500	68811
13	513	65465
14	522	62172
15	529	59007
16	536	56283
17	545	54048
18	558	52317
19	567	50489
20	583	49399
21	593	47973
22	606	46842
23	624	46189
24	633	45013
25	641	43791
26	650	42699
27	670	42446
28	678	41413
29	701	41365
30	794	45363
31	897	49601
32	910	48752
33	915	47566
34	918	46331
35	921	45160
36	924	44058
37	927	43020
38	930	42016
39	935	41177
40	942	40435
41	950	39801
42	956	39088
43	961	38355
44	966	37701
45	969	36981
46	972	36280
47	976	35631
48	981	35062
49	984	34443
50	987	33848
51	991	33317
52	994	32771
53	997	32247
54	1001	31787
55	1008	31409
56	1014	31034
57	1019	30613
58	1025	30250
59	1037	30091
60	1045	29797
61	1052	29508
62	1059	29201
63	1066	28939
64	1075	28694
65	1082	28427
66	1089	28180
67	1092	27825
68	1095	27492
69	1098	27155
70	1102	26842
71	1107	26580
72	1110	26266
73	1113	25974
74	1116	25683
75	1120	25406
76	1124	25158
77	1127	24902
78	1131	24643
79	1135	24419
80	1140	24205
81	1143	23965
82	1146	23718
83	1151	23527
84	1164	23503
85	1173	23380
86	1179	23229
87	1186	23083
88	1193	22945
89	1200	22806
90	1204	22629
91	1208	22438
92	1211	22242
93	1215	22068
94	1219	21880
95	1222	21707
96	1226	21538
97	1230	21363
98	1233	21193
99	1237	21035
100	1242	20902
101	1252	20843
102	1256	20701
103	1259	20537
104	1263	20390
105	1266	20246
106	1270	20109
107	1273	19958
108	1278	19831
109	1280	19678
110	1283	19534
111	1287	19402
112	1291	19274
113	1294	19147
114	1297	19007
115	1300	18873
116	1306	18790
117	1320	18820
118	1329	18787
119	1344	18819
120	1350	18735
121	1356	18653
122	1361	18561
123	1367	18487
124	1373	18409
125	1379	18333
126	1384	18244
127	1387	18127
128	1627	21086
129	1737	22318
130	1934	24641
131	2062	26067
132	2077	26044
133	2086	25935
134	2089	25770
135	2096	25654
136	2104	25547
137	2109	25406
138	2115	25274
139	2122	25166
140	2127	25037
141	2135	24932
142	2142	24825
143	2149	24718
144	2155	24608
145	2164	24520
146	2176	24471
147	2182	24364
148	2190	24276
149	2196	24159
150	2204	24079
151	2214	24015
152	2224	23941
153	2233	23867
154	2241	23785
155	2251	23731
156	2261	23665
157	2266	23556
158	2270	23429
159	2274	23309
160	2277	23183
161	2280	23054
162	2283	22933
163	2286	22804
164	2288	22680
165	2292	22562
166	2296	22460
167	2299	22334
168	2302	22216
169	2304	22093
170	2309	22002
171	2313	21896
172	2316	21788
173	2319	21675
174	2322	21565
175	2327	21476
176	2331	21374
177	2333	21260
178	2340	21195
179	2348	21139
180	2354	21061
181	2360	20980
182	2363	20885
183	2365	20776
184	2368	20680
185	2372	20585
186	2374	20484
187	2377	20387
188	2381	20299
189	2384	20204
190	2387	20112
191	2393	20044
192	2396	19952
193	2399	19862
194	2402	19771
195	2407	19704
196	2414	19643
197	2420	19587
198	2429	19546
199	2434	19472
200	2443	19440
201	2450	19382
202	2455	19315
203	2459	19238
204	2465	19182
205	2471	19123
206	2478	19074
207	2480	18985
208	2482	18894
209	2485	18816
210	2489	18744
211	2491	18665
212	2495	18592
213	2498	18518
214	2509	18501
215	2512	18426
216	2516	18356
217	2521	18296
218	2523	18215
219	2525	18139
220	2528	18066
221	2530	17990
222	2534	17924
223	2536	17848
224	2540	17781
225	2543	17712
226	2545	17636
227	2546	17559
228	2550	17500
229	2554	17436
230	2556	17362
231	2559	17300
232	2562	17236
233	2567	17185
234	2570	17121
235	2572	17051
236	2575	16987
237	2578	16922
238	2583	16873
239	2588	16826
240	2592	16769
241	2596	16713
242	2600	16661
243	2603	16605
244	2607	16551
245	2611	16495
246	2615	16445
247	2620	16397
248	2623	16340
249	2626	16285
250	2630	16231
251	2635	16186
252	2637	16129
253	2641	16075
254	2644	16020
255	2647	15965
256	2651	15918
257	2654	15867
258	2660	15830
259	2671	15826
260	2679	15801
261	2691	15802
262	2700	15784
263	2713	15785
264	2723	15773
265	2731	15754
266	2738	15724
267	2747	15706
268	2757	15691
269	2763	15660
270	2768	15618
271	2775	15590
272	2787	15591
273	2793	15559
274	2798	15517
275	2801	15466
276	2804	15419
277	2807	15372
278	2813	15335
279	2816	15287
280	2819	15241
281	2822	15192
282	2824	15138
283	2827	15091
284	2831	15051
285	2838	15028
286	2843	14992
287	2848	14952
288	2850	14901
289	2852	14851
290	2854	14803
291	2857	14758
292	2860	14713
293	2864	14671
294	2868	14633
295	2871	14588
296	2873	14543
297	2876	14496
298	2879	14455
299	2882	14411
300	2884	14367
301	2888	14326
302	2890	14279
303	2893	14236
304	2895	14194
305	2898	14152
306	2901	14110
307	2904	14069
308	2907	14031
309	2912	13996
310	2915	13959
311	2918	13920
312	2922	13884
313	2926	13850
314	2929	13811
315	2932	13772
316	2935	13732
317	2938	13696
318	2942	13660
319	2946	13626
320	2949	13588
321	2951	13547
322	2954	13509
323	2957	13471
324	2960	13435
325	2964	13404
326	2968	13372
327	2971	13337
328	2975	13301
329	2979	13271
330	2982	13236
331	2985	13198
332	2988	13163
333	2991	13128
334	2993	13093
335	2996	13057
336	2998	13019
337	3001	12984
338	3004	12950
339	3009	12921
340	3015	12900
341	3020	12875
342	3030	12874
343	3043	12879
344	3066	12931
345	3157	13269
346	3237	13556
347	3401	14191
348	3539	14716
349	3554	14723
350	3560	14699
351	3567	14675
352	3573	14648
353	3581	14627
354	3588	14607
355	3595	14582
356	3603	14563
357	3610	14541
358	3617	14520
359	3623	14493
360	3630	14470
361	3637	14447
362	3641	14415
363	3646	14384
364	3655	14370
365	3664	14355
366	3672	14340
367	3679	14317
368	3686	14296
369	3696	14287
370	3702	14260
371	3711	14247
372	3720	14232
373	3728	14216
374	3737	14201
375	3742	14172
376	3748	14146
377	3760	14146
378	3770	14136
379	3778	14121
380	3788	14108
381	3794	14086
382	3802	14068
383	3808	14043
384	3815	14022
385	3821	13998
386	3827	13976
387	3837	13964
388	3843	13942
389	3852	13927
390	3859	13907
391	3862	13873
392	3867	13845
393	3869	13808
394	3871	13772
395	3875	13739
396	3878	13706
397	3882	13675
398	3885	13642
399	3887	13606
400	3889	13571
401	3891	13534
402	3895	13502
403	3898	13471
404	3903	13444
405	3906	13412
406	3909	13381
407	3913	13351
408	3916	13319
409	3918	13286
410	3922	13256
411	3925	13224
412	3928	13192
413	3932	13165
414	3934	13132
415	3938	13104
416	3941	13072
417	3944	13041
418	3948	13013
419	3951	12983
420	3954	12953
421	3957	12922
422	3961	12894
423	3964	12867
424	3967	12837
425	3971	12809
426	3975	12781
427	3978	12752
428	3980	12721
429	3983	12691
430	3987	12664
431	3989	12633
432	3991	12602
433	3996	12577
434	3998	12548
435	4003	12523
436	4006	12495
437	4010	12472
438	4013	12444
439	4016	12413
440	4019	12385
441	4021	12354
442	4023	12326
443	4028	12302
444	4030	12274
445	4033	12245
446	4037	12221
447	4041	12197
448	4045	12172
449	4048	12145
450	4052	12122
451	4055	12094
452	4058	12069
453	4062	12043
454	4066	12019
455	4069	11993
456	4071	11964
457	4074	11938
458	4077	11911
459	4080	11886
460	4084	11862
461	4086	11835
462	4091	11816
463	4099	11804
464	4107	11791
465	4114	11778
466	4123	11769
467	4136	11772
468	4143	11758
469	4153	11753
470	4163	11746
471	4170	11734
472	4178	11723
473	4184	11705
474	4191	11691
475	4197	11676
476	4204	11661
477	4212	11651
478	4216	11628
479	4220	11605
480	4223	11582
481	4227	11558
482	4235	11547
483	4241	11532
484	4253	11533
485	4262	11525
486	4272	11518
487	4275	11495
488	4278	11471
489	4281	11445
