iter	Passed	Remaining
0	3	5842
1	7	6671
2	14	8740
3	17	7752
4	23	8260
5	34	10375
6	45	11562
7	48	10752
8	56	11273
9	64	11515
10	72	11718
11	79	11860
12	87	12037
13	100	12884
14	109	13038
15	116	13045
16	124	13074
17	132	13114
18	138	13001
19	148	13176
20	159	13552
21	169	13707
22	177	13743
23	184	13676
24	196	13926
25	205	14051
26	218	14356
27	232	14732
28	246	15024
29	261	15456
30	287	16418
31	319	17660
32	331	17744
33	345	17928
34	360	18156
35	386	18956
36	399	19038
37	409	18999
38	418	18892
39	431	18974
40	438	18816
41	448	18768
42	457	18677
43	463	18490
44	466	18208
45	471	17959
46	474	17702
47	478	17473
48	483	17284
49	492	17243
50	501	17202
51	510	17159
52	518	17102
53	528	17095
54	539	17117
55	551	17162
56	569	17429
57	609	18310
58	619	18282
59	628	18224
60	638	18194
61	648	18169
62	650	17945
63	656	17807
64	659	17604
65	663	17431
66	666	17235
67	669	17043
68	676	16967
69	687	16988
70	725	17659
71	917	22017
72	1064	25183
73	1075	25093
74	1081	24873
75	1087	24672
76	1093	24461
77	1102	24342
78	1109	24175
79	1119	24068
80	1127	23933
81	1137	23828
82	1145	23693
83	1150	23512
84	1157	23358
85	1164	23202
86	1171	23058
87	1177	22916
88	1184	22778
89	1191	22635
90	1199	22522
91	1212	22507
92	1223	22453
93	1232	22365
94	1239	22253
95	1246	22120
96	1250	21947
97	1252	21759
98	1256	21583
99	1259	21409
100	1262	21237
101	1265	21062
102	1268	20893
103	1271	20729
104	1274	20580
105	1278	20424
106	1281	20274
107	1286	20153
108	1289	20003
109	1291	19847
110	1294	19702
111	1296	19544
112	1298	19389
113	1301	19251
114	1304	19120
115	1314	19082
116	1322	19016
117	1329	18946
118	1338	18909
119	1346	18845
120	1352	18762
121	1357	18673
122	1362	18579
123	1369	18515
124	1376	18445
125	1381	18360
126	1387	18279
127	1393	18201
128	1401	18154
129	1411	18128
130	1420	18096
131	1425	18009
132	1428	17903
133	1431	17801
134	1435	17708
135	1438	17599
136	1440	17487
137	1447	17436
138	1455	17392
139	1462	17336
140	1465	17242
141	1467	17136
142	1471	17049
143	1474	16960
144	1478	16873
145	1480	16777
146	1484	16689
147	1487	16602
148	1490	16511
149	1491	16407
150	1494	16316
151	1496	16226
152	1498	16133
153	1501	16048
154	1504	15964
155	1507	15881
156	1510	15802
157	1512	15722
158	1515	15639
159	1517	15551
160	1519	15470
161	1522	15394
162	1525	15319
163	1528	15245
164	1530	15166
165	1534	15107
166	1537	15038
167	1540	14968
168	1544	14906
169	1547	14839
170	1550	14770
171	1553	14707
172	1555	14631
173	1558	14565
174	1562	14505
175	1564	14440
176	1568	14381
177	1570	14311
178	1573	14247
179	1576	14189
180	1579	14128
181	1582	14065
182	1584	14001
183	1587	13946
184	1591	13889
185	1594	13837
186	1596	13769
187	1600	13722
188	1602	13663
189	1605	13604
190	1608	13553
191	1611	13495
192	1614	13440
193	1616	13385
194	1619	13329
195	1622	13275
196	1624	13221
197	1625	13155
198	1628	13104
199	1631	13053
200	1634	13000
201	1638	12964
202	1644	12940
203	1654	12947
204	1662	12936
205	1666	12898
206	1674	12884
207	1682	12874
208	1688	12854
209	1696	12846
210	1708	12863
211	1712	12830
212	1717	12799
213	1719	12745
214	1721	12692
215	1726	12657
216	1728	12612
217	1729	12553
218	1733	12512
219	1742	12514
220	1749	12497
221	1752	12458
222	1755	12417
223	1760	12383
