iter	Passed	Remaining
0	76	114955
1	88	66519
2	100	49992
3	115	43319
4	126	37875
5	141	35226
6	154	32983
7	167	31149
8	178	29629
9	191	28460
10	200	27108
11	214	26636
12	227	26018
13	241	25655
14	258	25593
15	285	26494
16	297	25982
17	312	25720
18	327	25525
19	340	25164
20	354	25001
21	368	24741
22	381	24468
23	393	24196
24	404	23862
25	416	23610
26	430	23476
27	445	23399
28	456	23139
29	473	23193
30	494	23450
31	509	23354
32	517	23007
33	524	22635
34	534	22366
35	541	22022
36	549	21730
37	557	21448
38	566	21209
39	573	20922
40	581	20699
41	589	20462
42	598	20281
43	606	20073
44	614	19884
45	622	19679
46	631	19526
47	639	19334
48	649	19233
49	657	19069
50	669	19024
51	682	18991
52	690	18861
53	702	18813
54	710	18677
55	722	18633
56	739	18729
57	753	18724
58	772	18875
59	799	19178
60	831	19608
61	857	19895
62	867	19779
63	884	19840
64	900	19890
65	920	19998
66	936	20034
67	950	20020
68	966	20051
69	979	20013
70	1001	20156
71	1017	20183
72	1036	20252
73	1052	20285
74	1066	20262
75	1081	20270
76	1098	20299
77	1116	20351
78	1142	20544
79	1159	20581
80	1174	20568
81	1229	21259
82	1267	21643
83	1322	22285
84	1345	22397
85	1370	22537
86	1388	22549
87	1422	22831
88	1448	22967
89	1465	22962
90	1479	22900
91	1493	22858
92	1510	22852
93	1527	22844
94	1540	22789
95	1557	22775
96	1566	22653
97	1576	22549
98	1586	22447
99	1596	22357
100	1606	22252
101	1618	22186
102	1629	22097
103	1642	22044
104	1650	21932
105	1658	21810
106	1666	21698
107	1683	21698
108	1697	21662
109	1708	21586
110	1724	21579
111	1735	21512
112	1746	21434
113	1755	21342
114	1762	21225
115	1770	21122
116	1777	21008
117	1784	20900
118	1792	20797
119	1799	20691
120	1806	20591
121	1814	20492
122	1822	20398
123	1830	20316
124	1838	20224
125	1845	20130
126	1852	20031
127	1860	19945
128	1867	19849
129	1874	19758
130	1883	19678
131	1889	19581
132	1896	19491
133	1910	19475
134	1924	19459
135	1935	19415
136	1946	19365
137	1958	19330
138	1965	19246
139	1972	19157
140	1979	19074
141	1985	18987
142	1991	18902
143	1997	18813
144	2004	18731
145	2011	18651
146	2017	18573
147	2024	18492
148	2031	18421
149	2038	18345
150	2044	18267
151	2051	18191
152	2058	18118
153	2065	18055
