iter	Logloss
0	0.6773133353
1	0.6609334082
2	0.64734818
3	0.6335099317
4	0.6197581241
5	0.6074339966
6	0.5942145333
7	0.5817258298
8	0.5701918264
9	0.5594415729
10	0.5496572817
11	0.5390655143
12	0.5296549313
13	0.5206504207
14	0.5120631507
15	0.5045653658
16	0.4961262337
17	0.4884032132
18	0.4811524601
19	0.4742562504
20	0.4679670713
21	0.4613381929
22	0.4556677428
23	0.4501418275
24	0.4447505721
25	0.4389664302
26	0.4334343453
27	0.4286983802
28	0.4241298131
29	0.4196527603
30	0.4155158803
31	0.4114860619
32	0.4074572322
33	0.4034547235
34	0.399945561
35	0.3968076365
36	0.3938932877
37	0.391136488
38	0.3882475854
39	0.3856698694
40	0.3826907684
41	0.3798205155
42	0.3771268801
43	0.3749513257
44	0.3725055294
45	0.3702356907
46	0.3682486843
47	0.366060355
48	0.3640439907
49	0.3622221322
50	0.3603130714
51	0.3584350115
52	0.3568026202
53	0.3551818211
54	0.3537070601
55	0.3521763356
56	0.3507280583
57	0.3495015078
58	0.348019755
59	0.3467436562
60	0.3453954431
61	0.3439807395
62	0.3429429817
63	0.3419548514
64	0.3409044305
65	0.3397430534
66	0.3386238611
67	0.3372611228
68	0.3363062134
69	0.3354779221
70	0.3346161907
71	0.3338466791
72	0.3332714075
73	0.33228912
74	0.3314322535
75	0.3304046428
76	0.3295000259
77	0.3287718216
78	0.328054233
79	0.3272971816
80	0.3266088589
81	0.3257883214
82	0.3251869037
83	0.324347801
84	0.3236399852
85	0.3229009227
86	0.3221308013
87	0.3216070169
88	0.3209698369
89	0.3204505178
90	0.319980877
91	0.3194994908
92	0.3189652965
93	0.3184946608
94	0.3179928069
95	0.3174908069
96	0.3169067091
97	0.3164880306
98	0.316012925
99	0.3155260013
100	0.315000512
101	0.314635636
102	0.3141820392
103	0.3138242508
104	0.3132610631
105	0.312808172
106	0.3123402104
107	0.3120016004
108	0.3116046632
109	0.3113544953
110	0.3109366898
111	0.3105796838
112	0.3103053023
113	0.3099629535
