iter	Passed	Remaining
0	16	29737
1	29	26842
2	43	26316
3	54	24349
4	64	22988
5	71	21487
6	79	20244
7	84	18959
8	92	18463
9	99	17751
10	109	17815
11	116	17353
12	127	17495
13	133	17030
14	142	17012
15	148	16610
16	158	16643
17	163	16205
18	172	16188
19	178	15916
20	187	15849
21	193	15631
22	200	15491
23	203	15028
24	210	14929
25	216	14769
26	223	14656
27	228	14452
28	235	14373
29	242	14289
30	248	14172
31	254	14077
32	260	13946
33	266	13828
34	273	13778
35	279	13685
36	285	13613
37	291	13537
38	298	13499
39	305	13425
40	308	13228
41	314	13169
42	320	13078
43	327	13055
44	333	12994
45	338	12917
46	344	12851
47	350	12800
48	357	12762
49	363	12718
50	369	12681
51	376	12664
52	383	12656
53	390	12611
54	396	12587
55	403	12573
56	410	12556
57	420	12619
58	427	12604
59	434	12599
60	441	12578
61	447	12547
62	453	12506
63	460	12477
64	467	12484
65	474	12466
66	482	12472
67	488	12453
68	495	12438
69	502	12420
70	509	12395
71	517	12412
72	524	12402
73	532	12431
74	539	12413
75	548	12452
76	555	12435
77	564	12470
78	571	12452
79	581	12504
80	588	12496
81	599	12566
82	606	12538
83	614	12560
84	622	12553
85	630	12569
86	636	12532
87	645	12557
88	652	12551
89	661	12576
90	667	12545
91	676	12558
92	683	12545
93	692	12563
94	699	12558
95	708	12572
96	716	12578
97	725	12594
98	731	12574
99	738	12553
100	747	12577
101	754	12565
102	764	12593
103	772	12602
104	781	12617
105	812	12983
106	825	13066
107	859	13467
108	1006	15610
109	1280	19677
110	1354	20611
111	1367	20603
112	1381	20626
113	1394	20621
114	1406	20601
115	1418	20587
116	1427	20535
117	1434	20443
118	1440	20342
119	1445	20241
120	1452	20149
121	1460	20085
122	1473	20086
123	1482	20040
124	1491	19987
125	1498	19910
126	1504	19820
127	1511	19744
128	1518	19664
129	1524	19584
130	1530	19505
131	1537	19429
132	1543	19349
133	1550	19275
134	1556	19196
135	1563	19125
136	1570	19063
137	1578	19012
138	1584	18937
139	1591	18866
140	1598	18809
141	1606	18760
142	1614	18710
143	1621	18651
144	1630	18610
145	1636	18539
146	1648	18540
147	1656	18494
148	1673	18548
149	1688	18574
150	1703	18600
151	1717	18618
152	1728	18605
153	1743	18633
154	1756	18643
155	1776	18721
156	1792	18756
157	1807	18781
158	1819	18780
159	1833	18792
160	1855	18891
161	1867	18879
162	1875	18838
163	1882	18779
164	1890	18736
165	1897	18679
166	1904	18625
167	1911	18572
168	1918	18512
169	1927	18478
170	1933	18421
171	1941	18374
172	1948	18325
173	1955	18273
174	1961	18217
175	1968	18167
176	1975	18115
177	1981	18056
178	1987	18000
179	1994	17947
180	1996	17859
181	2003	17809
182	2011	17774
183	2019	17739
184	2026	17688
185	2032	17640
186	2039	17590
187	2045	17540
188	2052	17496
189	2059	17451
190	2067	17419
191	2073	17368
192	2076	17289
193	2083	17249
194	2092	17221
195	2102	17207
196	2108	17161
197	2115	17113
198	2121	17066
199	2123	16990
200	2129	16944
201	2138	16917
202	2145	16881
203	2152	16838
204	2159	16798
205	2167	16774
206	2209	17000
207	2227	17048
208	2238	17037
209	2247	17018
210	2258	17004
211	2269	17001
212	2279	16985
213	2290	16978
214	2300	16963
215	2313	16963
216	2322	16941
217	2358	17116
218	2493	18004
219	2719	19528
220	2836	20268
221	2838	20178
222	2841	20091
223	2853	20078
224	2866	20063
225	2882	20076
226	2894	20058
227	2902	20012
228	2911	19970
229	2918	19919
230	2923	19859
231	2934	19835
232	2954	19866
233	2964	19838
234	2970	19783
235	2972	19700
236	2981	19665
237	2988	19613
238	2996	19571
239	3002	19513
240	3010	19473
241	3020	19445
242	3022	19364
243	3026	19300
244	3033	19252
245	3050	19268
246	3065	19273
247	3077	19256
248	3084	19211
249	3091	19166
250	3098	19119
251	3103	19062
252	3116	19056
253	3126	19027
254	3131	18975
255	3137	18924
256	3140	18852
257	3145	18800
258	3153	18763
259	3159	18716
260	3165	18665
261	3174	18636
262	3181	18592
263	3188	18552
264	3195	18511
265	3199	18451
266	3203	18394
267	3211	18355
268	3217	18311
269	3221	18256
270	3228	18214
271	3236	18182
272	3244	18147
273	3250	18104
274	3257	18062
275	3264	18026
276	3272	17992
277	3279	17952
278	3292	17947
279	3306	17952
280	3315	17925
281	3320	17876
282	3338	17894
283	3351	17890
284	3364	17885
285	3379	17890
286	3396	17904
287	3406	17884
288	3413	17846
289	3421	17814
290	3428	17776
291	3430	17717
292	3439	17688
293	3445	17650
294	3449	17596
295	3456	17564
