iter	Logloss
0	0.6764147447
1	0.6597459833
2	0.6463853211
3	0.6326966007
4	0.6190719135
5	0.6067380423
6	0.5931466916
7	0.5807113951
8	0.5689792601
9	0.5580940972
10	0.5483412914
11	0.5375166741
12	0.5282314197
13	0.5191584178
14	0.5105222852
15	0.5026656
16	0.4948039113
17	0.4872179265
18	0.4797622618
19	0.4735700461
20	0.4676493583
21	0.4609842343
22	0.4551608715
23	0.4494765599
24	0.4436419723
25	0.4380367166
26	0.4329263109
27	0.4276523745
28	0.4229005802
29	0.4189343347
30	0.4148594061
31	0.4107312703
32	0.4067215953
33	0.4031516643
34	0.3995092688
35	0.3957533131
36	0.3926527254
37	0.3892820717
38	0.3860336154
39	0.3835216321
40	0.3809588954
41	0.3781441314
42	0.3755161717
43	0.3732243178
44	0.3709636303
45	0.3689516711
46	0.3672853117
47	0.365301543
48	0.3633615131
49	0.3611509107
50	0.3594993408
51	0.3579341139
52	0.3559695575
53	0.3540562398
54	0.3526109173
55	0.3508423543
56	0.3491233417
57	0.3477473417
58	0.3463269589
59	0.3448183399
60	0.3435532107
61	0.3421893455
62	0.3410845123
63	0.3401168554
64	0.3389583805
65	0.3378829755
66	0.3367784337
67	0.3357005431
68	0.3348404397
69	0.3344499716
70	0.3334472086
71	0.3324766951
72	0.3315644717
73	0.3308282521
74	0.3300247905
75	0.3291171997
76	0.3284374948
77	0.327722909
78	0.3272742184
79	0.3265861157
80	0.3258236429
81	0.3251859252
82	0.3245087331
83	0.3238199132
84	0.3231311566
85	0.3225271798
86	0.322001662
87	0.3214396967
88	0.3209446264
89	0.32057023
90	0.319994197
91	0.3194195531
92	0.319014807
93	0.3184011497
94	0.3179357039
95	0.317406973
96	0.3168171556
97	0.3164119554
98	0.3159550221
99	0.3154731196
100	0.3151254127
101	0.3147559869
102	0.3143287117
103	0.3137897116
104	0.3133054394
105	0.3127809736
106	0.3123909797
107	0.3119473157
108	0.3113682543
109	0.3109668412
110	0.3105402703
111	0.3101440053
112	0.3097988837
113	0.3092998966
114	0.3089192143
115	0.3088394176
116	0.3083934828
117	0.3080510584
118	0.307690395
119	0.3072743966
120	0.3068898111
121	0.3065633991
122	0.3062581583
123	0.3059734565
124	0.3055109698
125	0.3053483268
126	0.3050617809
127	0.3047161907
128	0.3044742371
129	0.3042609688
130	0.3040619678
131	0.3037062226
132	0.3035172904
133	0.303161869
134	0.3028086585
135	0.302570271
136	0.3023477081
137	0.3020429315
138	0.3018222091
139	0.3014649563
140	0.3012941174
141	0.3011157675
142	0.3009150578
143	0.300662719
144	0.300427466
145	0.3002041656
146	0.3000532918
147	0.2998043888
148	0.2995973154
149	0.299393493
150	0.2991250565
151	0.2989375306
152	0.2986736877
153	0.2984884874
