iter	RMSE
0	608881.7001
1	596178.684
2	583956.2604
3	572289.1064
4	560373.0298
5	548648.2153
6	537824.1307
7	526713.1292
8	516518.2599
9	505529.8682
10	495720.2542
11	486634.9927
12	477224.3461
13	468074.6927
14	459527.2696
15	451582.8232
16	443395.8685
17	435355.2428
18	427828.5124
19	420444.2807
20	412837.2076
21	405923.4226
22	399129.9744
23	392662.7966
24	386525.9298
25	380417.6002
26	375233.6823
27	369498.8963
28	364198.5091
29	358688.2098
30	353407.6549
31	348130.5992
32	343252.5055
33	338283.4852
34	333750.7052
35	329408.9958
36	324911.9676
37	320826.3152
38	316708.3788
39	312825.0427
40	308920.4834
41	305253.6301
42	301636.7338
43	298492.0039
44	295391.886
45	292038.0001
46	288834.5047
47	285950.16
48	282931.7757
49	280068.0507
50	277198.0173
51	274200.6862
52	271653.502
53	269188.1061
54	266823.6676
55	264512.8834
56	261970.9288
57	259847.1052
58	257495.1858
59	255238.6387
60	253304.5226
61	251578.1393
62	249770.5472
63	248071.973
64	246362.1964
65	244801.0419
66	243164.171
67	241479.4212
68	239751.1439
69	237984.5984
70	236215.8995
71	234648.8622
72	232910.7228
73	231659.0465
74	230288.2522
75	228922.9532
76	227717.5358
77	226477.2133
78	225149.801
79	224135.485
80	222979.7854
81	221602.229
82	220725.8481
83	219598.3861
84	218533.2396
85	217274.2868
86	216227.8045
87	215191.3164
88	214056.5715
89	213192.3936
90	212554.9648
91	211818.4075
92	211146.4213
93	210192.3313
94	209505.7089
95	208748.2053
96	207993.5545
97	207129.3488
98	206565.0866
99	206107.1168
100	205457.8738
101	205034.3822
102	204619.1442
103	204130.0125
104	203251.991
105	202783.0826
106	202359.4418
107	201996.3935
108	201440.4297
109	201056.3894
110	200444.825
111	199891.243
112	199438.3687
113	198813.9658
114	197995.061
115	197441.4643
116	196851.9098
117	196252.8898
118	195848.7935
119	195503.1062
120	195169.6216
121	194882.0194
122	194596.2585
123	194316.0354
124	193803.324
125	193198.3516
126	192849.0595
127	192478.4463
128	192166.1025
129	191906.6203
130	191635.0348
131	191347.7985
132	190983.0451
133	190701.5523
134	190454.0012
135	190158.0147
136	189681.3423
137	189034.0958
138	188774.0186
139	188556.7716
140	188305.2421
141	187914.0225
142	187679.5
143	187089.5056
144	186546.3156
145	186346.6007
146	186145.956
147	185909.7502
148	185692.0521
149	185479.1601
150	185165.4069
151	184822.5565
152	184410.6134
153	184166.1744
154	183754.2142
155	183517.6133
156	183259.2992
157	183064.5284
158	182612.8994
159	182431.7584
160	181736.4571
161	181533.6453
162	181287.4871
163	181008.3559
164	180799.2304
165	180656.1839
166	180264.9014
167	180161.9479
168	180008.4224
169	179461.7778
170	178871.6612
171	178715.0233
172	178570.4081
173	178405.9304
174	178159.5845
175	178012.7584
176	177855.644
177	177655.9332
178	177493.2941
179	177357.9671
180	176959.2874
181	176819.6539
182	176691.1653
183	176427.2952
184	176213.1465
185	175783.3785
186	175742.7335
187	175613.6558
188	175439.9444
189	175316.7675
190	174977.2347
191	174557.3122
192	173958.8323
193	173668.031
194	173319.4526
195	173200.3579
196	172917.5614
197	172497.6233
198	172268.0582
199	171932.9306
200	171837.3665
201	171555.6756
202	171522.4473
203	171406.5902
204	171308.0506
205	170859.6652
206	170716.1274
207	170616.9334
208	170052.8691
209	169729.8144
210	169688.2282
211	169332.549
212	169117.4196
213	168886.7854
214	168834.4737
215	168548.261
216	168448.5825
217	168350.8149
218	168257.4708
219	168154.8526
220	168097.056
221	167658.769
222	167522.0793
223	167271.9635
224	167247.4087
225	167169.7858
226	166950.5418
227	166695.6037
228	166590.4901
229	166397.3884
230	166085.0269
231	165991.399
232	165959.1887
233	165731.6842
234	165500.0013
235	165479.0095
236	165001.7774
237	164800.2282
238	164500.185
239	164250.5456
240	164169.2259
241	164081.8357
242	163954.6539
243	163542.3344
244	163287.2681
245	162925.3915
246	162734.5998
247	162291.1365
248	162007.0414
249	161861.0927
250	161798.5305
251	161726.4956
252	161668.024
253	161302.1447
254	160993.763
255	160831.6688
256	160489.6429
257	160415.4991
258	160171.7606
259	159856.2903
260	159694.3272
261	159477.5726
262	159453.4475
263	159417.6927
264	159211.8543
265	159136.1932
266	159032.6918
267	158964.9712
268	158878.102
269	158500.7633
270	158478.6697
271	158396.5324
272	158037.3013
273	158016.0646
274	157636.6828
275	157412.7218
276	157391.117
277	157301.8288
278	157240.174
279	157171.035
280	156795.249
281	156724.2495
282	156506.2114
283	156445.2563
284	156386.6407
285	156085.5217
286	155902.3346
287	155491.9121
288	155473.49
289	155390.5403
290	155204.9897
291	155036.7057
292	154657.9078
293	154242.7403
294	153847.5473
295	153829.7595
296	153586.979
297	153233.8932
298	153177.1817
299	153035.4508
300	152962.1692
301	152910.6605
302	152694.3955
303	152644.4092
304	152598.342
305	152502.0515
306	152404.1005
307	152387.8791
308	152052.4133
309	151897.644
310	151734.0931
311	151520.1543
312	151410.0388
313	151272.0025
314	151023.8058
315	150888.5932
316	150838.3815
317	150667.2054
318	150602.8027
319	150323.7727
320	150264.9783
321	150213.3497
322	149922.9513
323	149718.5155
324	149533.1058
325	149491.5476
326	149451.8238
327	149397.4528
328	149363.0395
329	149289.5716
330	149129.1991
